ENTREZ GENE ID	GENE SYMBOL	UNIPROT		number of EXPERIMENT	Colorectal cancer cells	Ovarian cancer cells	Breast cancer cells	Kidney cancer cells	Glioblastoma cells	Lung cancer cells	Stomach cancer cells	Hepatoma cells	Pancreatic cancer cells	Pancreatic adenocarcinoma cells
27068	PPA2	Q9H2U2	V	20	5	8	2	4	0	1	0	0	0	0
51202	DDX47	Q9H0S4	V	20	6	6	2	3	0	3	0	0	0	0
55830	GLT8D1	Q68CQ7	V	20	1	6	5	4	0	4	0	0	0	0
63893	UBE2O	Q9C0C9	V	20	5	4	2	3	0	6	0	0	0	0
261726	TIPRL	O75663	V	20	7	6	3	3	0	1	0	0	0	0
312	ANXA13	P27216	V	20	9	4	0	1	0	6	0	0	0	0
760	CA2	P00918	V	20	9	7	0	1	0	3	0	0	0	0
1632	ECI1	P42126	V	20	7	1	3	5	1	3	0	0	0	0
1687	DFNA5	O60443	V	20	4	4	2	1	0	9	0	0	0	0
2535	FZD2	Q14332	V	20	5	8	3	1	0	3	0	0	0	0
3895	KTN1	Q86UP2	V	20	4	9	1	2	1	3	0	0	0	0
5764	PTN	P21246	V	20	2	6	1	4	2	5	0	0	0	0
6876	TAGLN	Q01995	V	20	5	4	4	3	0	4	0	0	0	0
10142	AKAP9	Q99996	V	20	6	6	3	2	0	3	0	0	0	0
10916	MAGED2	Q9UNF1	V	20	8	6	2	1	0	3	0	0	0	0
11196	SEC23IP	Q9Y6Y8	V	20	3	10	3	2	0	2	0	0	0	0
25923	ATL3	Q6DD88	V	20	5	7	2	4	0	2	0	0	0	0
27095	TRAPPC3	O43617	V	20	5	4	5	1	0	5	0	0	0	0
54928	IMPAD1	Q9NX62	V	20	3	9	2	2	0	4	0	0	0	0
55573	CDV3	Q9UKY7	V	20	4	7	1	3	0	5	0	0	0	0
57410	SCYL1	Q96KG9	V	20	6	4	0	3	0	7	0	0	0	0
80223	RAB11FIP1	Q6WKZ4	V	20	6	5	0	3	0	6	0	0	0	0
346389	MACC1	Q6ZN28	V	20	12	5	2	1	0	0	0	0	0	0
552900	BOLA2	Q9H3K6	V	20	5	7	3	3	0	2	0	0	0	0
30	ACAA1	P09110	V	20	11	3	2	1	1	2	0	0	0	0
1193	CLIC2	O15247	V	20	7	5	1	2	0	5	0	0	0	0
1438	CSF2RA	P15509	V	20	4	4	1	3	0	8	0	0	0	0
1786	DNMT1	P26358	V	20	6	5	1	4	0	4	0	0	0	0
2582	GALE	Q14376	V	20	7	8	0	1	0	4	0	0	0	0
3437	IFIT3	O14879	V	20	6	3	2	5	0	4	0	0	0	0
5606	MAP2K3	P46734	V	20	2	6	0	6	0	6	0	0	0	0
5886	RAD23A	P54725	V	20	11	0	3	3	0	3	0	0	0	0
6249	CLIP1	P30622	V	20	6	4	2	3	0	5	0	0	0	0
9112	MTA1	Q13330	V	20	4	5	1	4	0	6	0	0	0	0
9670	IPO13	O94829	V	20	4	5	2	5	0	4	0	0	0	0
10526	IPO8	O15397	V	20	7	6	2	2	0	3	0	0	0	0
27346	TMEM97	Q5BJF2	V	20	3	3	3	6	0	5	0	0	0	0
30849	PIK3R4	Q99570	V	20	2	7	2	3	0	6	0	0	0	0
124583	CANT1	Q8WVQ1	V	20	7	5	3	4	0	1	0	0	0	0
7266	DNAJC7	Q99615	V	20	7	6	2	5	0	0	0	0	0	0
8483	CILP	O75339	V	20	4	4	4	3	0	5	0	0	0	0
10277	UBE4B	O95155	V	20	4	6	3	4	0	3	0	0	0	0
10280	SIGMAR1	Q99720	V	20	7	2	3	5	0	3	0	0	0	0
29015	SLC43A3	Q8NBI5	V	20	9	1	3	4	0	3	0	0	0	0
51433	ANAPC5	Q9UJX4	V	20	2	6	3	3	0	6	0	0	0	0
51434	ANAPC7	Q9UJX3	V	20	6	7	1	2	0	4	0	0	0	0
51611	DPH5	Q9H2P9	V	20	4	4	3	3	0	6	0	0	0	0
51645	PPIL1	Q9Y3C6	V	20	8	1	2	4	0	5	0	0	0	0
55902	ACSS2	Q9NR19	V	20	4	7	1	1	0	7	0	0	0	0
23637	RABGAP1	Q9Y3P9	V	20	5	5	4	2	0	4	0	0	0	0
126353	C19orf21	Q8IVT2	V	20	10	7	2	1	0	0	0	0	0	0
286887	KRT6C	P48668	V	20	13	4	0	0	3	0	0	0	0	0
5058	PAK1	Q13153	V	20	7	6	1	4	0	2	0	0	0	0
114294	LACTB	P83111	V	20	3	4	3	4	0	6	0	0	0	0
7311	UBA52	P62987	V	19	16	0	0	2	0	1	0	0	0	0
3040	HBA2	D1MGQ2	V	19	3	6	2	0	8	0	0	0	0	0
8337	HIST2H2AA3	Q6FI13	V	19	12	6	0	0	1	0	0	0	0	0
4060	LUM	P51884	V	19	3	4	3	5	1	3	0	0	0	0
6382	SDC1	P18827	V	19	10	0	4	4	0	1	0	0	0	0
81027	TUBB1	Q9H4B7	V	19	13	6	0	0	0	0	0	0	0	0
59	ACTA2	P62736	V	19	12	2	3	2	0	0	0	0	0	0
3012	HIST1H2AE	P04908	V	19	12	6	1	0	0	0	0	0	0	0
6645	SNTB2	Q13425	V	19	14	3	1	1	0	0	0	0	0	0
10131	TRAP1	Q12931	V	19	8	4	1	1	0	5	0	0	0	0
54566	EPB41L4B	Q9H329	V	19	9	5	0	2	0	3	0	0	0	0
7070	THY1	P04216	V	19	4	5	3	1	2	4	0	0	0	0
50809	HP1BP3	Q5SSJ5	V	19	7	9	0	2	0	1	0	0	0	0
126961	HIST2H3C	Q71DI3	V	19	6	6	0	0	4	3	0	0	0	0
9497	SLC4A7	Q9Y6M7	V	19	10	6	3	0	0	0	0	0	0	0
9590	AKAP12	Q02952	V	19	2	5	3	4	0	5	0	0	0	0
55920	RCC2	Q9P258	V	19	7	9	3	0	0	0	0	0	0	0
57181	SLC39A10	Q9ULF5	V	19	8	7	1	2	0	1	0	0	0	0
3913	LAMB2	P55268	V	19	6	8	1	0	2	2	0	0	0	0
5695	PSMB7	Q99436	V	19	7	8	2	1	0	1	0	0	0	0
5654	HTRA1	Q92743	V	19	1	6	2	2	3	5	0	0	0	0
4926	NUMA1	Q14980	V	19	6	6	2	0	0	5	0	0	0	0
11260	XPOT	O43592	V	19	9	6	2	1	0	1	0	0	0	0
1000	CDH2	P19022	V	19	5	7	3	2	1	1	0	0	0	0
3248	HPGD	P15428	V	19	8	4	2	2	0	3	0	0	0	0
5204	PFDN5	Q99471	V	19	8	9	1	1	0	0	0	0	0	0
9138	ARHGEF1	Q92888	V	19	6	4	2	2	0	5	0	0	0	0
2764	GMFB	P60983	V	19	5	6	3	2	0	3	0	0	0	0
3696	ITGB8	P26012	V	19	4	5	0	4	0	6	0	0	0	0
3914	LAMB3	Q13751	V	19	7	5	0	1	0	6	0	0	0	0
5577	PRKAR2B	P31323	V	19	6	2	3	4	0	4	0	0	0	0
9181	ARHGEF2	Q92974	V	19	1	8	4	4	0	2	0	0	0	0
26472	PPP1R14B	Q96C90	V	19	7	2	1	3	0	6	0	0	0	0
64837	KLC2	Q9H0B6	V	19	7	7	1	2	0	2	0	0	0	0
113146	AHNAK2	Q8IVF2	V	19	4	6	5	2	2	0	0	0	0	0
207	AKT1	P31749	V	19	5	4	3	2	0	5	0	0	0	0
537	ATP6AP1	Q15904	V	19	2	10	4	2	0	1	0	0	0	0
5635	PRPSAP1	Q14558	V	19	6	5	3	1	0	4	0	0	0	0
5636	PRPSAP2	O60256	V	19	5	7	3	1	0	3	0	0	0	0
5954	RCN1	Q15293	V	19	9	5	1	1	0	3	0	0	0	0
8394	PIP5K1A	Q99755	V	19	5	7	1	1	0	5	0	0	0	0
9928	KIF14	Q15058	V	19	13	3	2	1	0	0	0	0	0	0
10291	SF3A1	Q15459	V	19	4	11	0	1	0	3	0	0	0	0
10498	CARM1	Q86X55	V	19	4	7	2	3	0	3	0	0	0	0
10654	PMVK	Q15126	V	19	5	6	2	1	0	5	0	0	0	0
23136	EPB41L3	Q9Y2J2	V	19	7	5	2	3	0	2	0	0	0	0
84056	KATNAL1	Q9BW62	V	19	5	4	2	5	0	3	0	0	0	0
84168	ANTXR1	Q9H6X2	V	19	4	4	3	4	0	4	0	0	0	0
113178	SCAMP4	Q969E2	V	19	4	5	5	4	0	1	0	0	0	0
2632	GBE1	Q04446	V	19	4	6	4	3	0	2	0	0	0	0
2876	GPX1	P07203	V	19	8	1	1	3	0	6	0	0	0	0
4174	MCM5	P33992	V	19	7	9	0	2	0	1	0	0	0	0
8539	API5	Q9BZZ5	V	19	8	5	2	3	0	1	0	0	0	0
8576	STK16	O75716	V	19	3	5	3	3	0	5	0	0	0	0
8884	SLC5A6	Q9Y289	V	19	7	3	3	3	0	3	0	0	0	0
9100	USP10	Q14694	V	19	2	6	1	5	0	5	0	0	0	0
9536	PTGES	O14684	V	19	4	2	4	0	0	9	0	0	0	0
10342	TFG	Q92734	V	19	7	5	2	5	0	0	0	0	0	0
27333	GOLIM4	O00461	V	19	9	8	1	0	0	1	0	0	0	0
54732	TMED9	Q9BVK6	V	19	7	6	3	1	0	2	0	0	0	0
57217	TTC7A	Q9ULT0	V	19	4	6	3	3	0	3	0	0	0	0
83658	DYNLRB1	Q9NP97	V	19	3	9	1	2	0	4	0	0	0	0
84817	TXNDC17	Q9BRA2	V	19	9	4	3	3	0	0	0	0	0	0
119467	CLRN3	Q8NCR9	V	19	5	4	2	3	0	5	0	0	0	0
286451	YIPF6	Q96EC8	V	19	5	6	1	4	0	3	0	0	0	0
154	ADRB2	P07550	V	19	4	4	0	6	0	5	0	0	0	0
274	BIN1	O00499	V	19	8	6	1	2	0	2	0	0	0	0
525	ATP6V1B1	P15313	V	19	10	4	2	0	0	3	0	0	0	0
1207	CLNS1A	P54105	V	19	2	6	2	2	0	7	0	0	0	0
1743	DLST	P36957	V	19	8	5	1	2	0	3	0	0	0	0
3908	LAMA2	P24043	V	19	6	1	3	4	0	5	0	0	0	0
4281	MID1	O15344	V	19	8	3	3	2	0	3	0	0	0	0
5250	SLC25A3	Q00325	V	19	6	7	1	4	0	1	0	0	0	0
5337	PLD1	Q13393	V	19	5	6	2	2	0	4	0	0	0	0
5813	PURA	Q00577	V	19	6	9	2	1	0	1	0	0	0	0
5867	RAB4A	P20338	V	19	11	5	1	0	0	2	0	0	0	0
6857	SYT1	P21579	V	19	10	4	1	3	0	1	0	0	0	0
10398	MYL9	P24844	V	19	12	6	0	1	0	0	0	0	0	0
10512	SEMA3C	Q99985	V	19	5	9	0	2	0	3	0	0	0	0
10577	NPC2	P61916	V	19	1	3	3	4	0	8	0	0	0	0
30851	TAX1BP3	O14907	V	19	5	3	3	4	0	4	0	0	0	0
51726	DNAJB11	Q9UBS4	V	19	7	7	3	0	0	2	0	0	0	0
55612	FERMT1	Q9BQL6	V	19	7	6	1	5	0	0	0	0	0	0
57465	TBC1D24	Q9ULP9	V	19	2	3	2	4	0	8	0	0	0	0
59307	SIGIRR	Q6IA17	V	19	11	1	3	1	0	3	0	0	0	0
84888	SPPL2A	Q8TCT8	V	19	5	5	1	4	0	4	0	0	0	0
114801	TMEM200A	Q86VY9	V	19	8	3	1	6	0	1	0	0	0	0
170506	DHX36	Q9H2U1	V	19	4	11	2	1	0	1	0	0	0	0
283869	NPW	Q8N729	V	19	5	4	0	5	0	5	0	0	0	0
448834	KPRP	Q5T749	V	19	10	1	3	2	0	3	0	0	0	0
925	CD8A	P01732	V	19	2	6	3	6	0	2	0	0	0	0
3694	ITGB6	P18564	V	19	10	4	4	1	0	0	0	0	0	0
6574	SLC20A1	Q8WUM9	V	19	5	5	1	4	0	4	0	0	0	0
6631	SNRPC	P09234	V	19	2	6	2	5	0	4	0	0	0	0
7019	TFAM	Q00059	V	19	3	5	2	5	0	4	0	0	0	0
8518	IKBKAP	O95163	V	19	4	8	1	2	0	4	0	0	0	0
8673	VAMP8	Q9BV40	V	19	8	6	1	4	0	0	0	0	0	0
8736	MYOM1	P52179	V	19	4	4	2	4	0	5	0	0	0	0
10204	NUTF2	P61970	V	19	8	5	2	3	0	1	0	0	0	0
11120	BTN2A1	Q7KYR7	V	19	3	9	2	1	0	4	0	0	0	0
23184	MESDC2	Q14696	V	19	6	4	5	2	0	2	0	0	0	0
28985	MCTS1	Q9ULC4	V	19	7	6	3	3	0	0	0	0	0	0
50484	RRM2B	Q7LG56	V	19	7	3	2	4	0	3	0	0	0	0
51015	ISOC1	Q96CN7	V	19	10	2	2	1	0	4	0	0	0	0
51454	GULP1	Q9UBP9	V	19	4	3	3	5	0	4	0	0	0	0
54888	NSUN2	Q08J23	V	19	1	4	1	6	0	7	0	0	0	0
55968	NSFL1C	Q9UNZ2	V	19	9	5	2	2	0	1	0	0	0	0
64856	VWA1	Q6PCB0	V	19	3	8	0	4	0	4	0	0	0	0
147372	CCBE1	Q6UXH8	V	19	5	3	4	2	0	5	0	0	0	0
388564	TMEM238	C9JI98	V	19	3	3	3	4	0	6	0	0	0	0
48	ACO1	P21399	V	19	9	6	1	1	0	2	0	0	0	0
810	CALML3	P27482	V	19	3	9	2	3	0	2	0	0	0	0
2745	GLRX	P35754	V	19	9	5	0	2	0	3	0	0	0	0
2935	GSPT1	P15170	V	19	6	6	2	3	0	2	0	0	0	0
4542	MYO1F	O00160	V	19	9	3	1	5	0	1	0	0	0	0
4710	NDUFB4	O95168	V	19	3	3	1	5	0	7	0	0	0	0
4925	NUCB2	P80303	V	19	5	5	2	4	0	3	0	0	0	0
5169	ENPP3	O14638	V	19	5	4	2	5	0	3	0	0	0	0
5364	PLXNB1	O43157	V	19	7	6	2	1	0	3	0	0	0	0
5447	POR	P16435	V	19	9	5	1	2	0	2	0	0	0	0
5602	MAPK10	P53779	V	19	6	5	2	2	0	4	0	0	0	0
8175	SF3A2	Q15428	V	19	3	8	2	4	0	2	0	0	0	0
9528	TMEM59	Q9BXS4	V	19	3	7	1	1	0	7	0	0	0	0
10205	MPZL2	O60487	V	19	11	3	2	1	0	2	0	0	0	0
10423	CDIPT	O14735	V	19	8	2	0	2	0	7	0	0	0	0
10857	PGRMC1	O00264	V	19	3	7	2	4	0	3	0	0	0	0
11258	DCTN3	O75935	V	19	9	3	4	2	0	1	0	0	0	0
23420	NOMO1	Q15155	V	19	9	3	2	3	0	2	0	0	0	0
26038	CHD5	Q8TDI0	V	19	6	5	3	3	0	2	0	0	0	0
26091	HERC4	Q5GLZ8	V	19	3	2	3	3	0	8	0	0	0	0
29780	PARVB	Q9HBI1	V	19	5	7	1	4	0	2	0	0	0	0
51122	COMMD2	Q86X83	V	19	3	6	0	5	0	5	0	0	0	0
51596	CUTA	O60888	V	19	7	3	4	2	0	3	0	0	0	0
66005	CHID1	Q9BWS9	V	19	3	6	3	3	0	4	0	0	0	0
79932	KIAA0319L	Q8IZA0	V	19	3	11	2	1	0	2	0	0	0	0
84230	LRRC8C	Q8TDW0	V	19	2	6	2	3	0	6	0	0	0	0
92359	CRB3	Q9BUF7	V	19	4	4	2	4	0	5	0	0	0	0
134147	CMBL	Q96DG6	V	19	11	1	1	2	0	4	0	0	0	0
199731	CADM4	Q8NFZ8	V	19	2	3	4	4	1	5	0	0	0	0
340527	NHSL2	Q5HYW2	V	19	6	9	1	2	0	1	0	0	0	0
36	ACADSB	P45954	V	19	5	1	4	5	0	4	0	0	0	0
813	CALU	O43852	V	19	6	6	2	2	0	3	0	0	0	0
818	CAMK2G	Q13555	V	19	5	5	2	5	0	2	0	0	0	0
1174	AP1S1	P61966	V	19	6	5	4	1	0	3	0	0	0	0
1272	CNTN1	Q12860	V	19	3	2	6	3	0	5	0	0	0	0
2647	BLOC1S1	P78537	V	19	9	3	2	2	0	3	0	0	0	0
2670	GFAP	P14136	V	19	13	1	1	3	1	0	0	0	0	0
2729	GCLC	P48506	V	19	6	2	0	3	0	8	0	0	0	0
3048	HBG2	P69892	V	19	6	6	1	3	0	2	0	0	0	1
4124	MAN2A1	Q16706	V	19	4	8	4	3	0	0	0	0	0	0
4143	MAT1A	Q00266	V	19	2	6	2	5	0	4	0	0	0	0
6235	RPS29	P62273	V	19	7	6	1	1	0	4	0	0	0	0
6464	SHC1	P29353	V	19	6	2	1	4	0	6	0	0	0	0
6637	SNRPG	P62308	V	19	7	4	3	3	0	2	0	0	0	0
6651	SON	P18583	V	19	5	2	2	5	0	5	0	0	0	0
8425	LTBP4	Q8N2S1	V	19	5	5	2	4	0	3	0	0	0	0
9847	KIAA0528	Q86YS7	V	19	9	5	1	2	0	2	0	0	0	0
11311	VPS45	Q9NRW7	V	19	5	8	3	2	0	1	0	0	0	0
23172	FAM175B	Q15018	V	19	7	4	4	0	0	4	0	0	0	0
23236	PLCB1	Q9NQ66	V	19	3	4	1	5	0	6	0	0	0	0
26130	GAPVD1	Q14C86	V	19	6	6	1	2	0	4	0	0	0	0
26873	OPLAH	O14841	V	19	8	5	1	4	0	1	0	0	0	0
29952	DPP7	Q9UHL4	V	19	6	5	2	4	1	1	0	0	0	0
55872	PBK	Q96KB5	V	19	2	4	3	5	0	5	0	0	0	0
84034	EMILIN2	Q9BXX0	V	19	3	5	2	3	3	3	0	0	0	0
84084	RAB6C	Q9H0N0	V	19	10	1	2	1	0	5	0	0	0	0
84245	MRI1	Q9BV20	V	19	6	6	0	2	0	5	0	0	0	0
90861	HN1L	Q9H910	V	19	3	8	1	2	0	5	0	0	0	0
114787	GPRIN1	Q7Z2K8	V	19	4	1	3	2	0	9	0	0	0	0
149986	LSM14B	Q9BX40	V	19	5	5	2	4	0	3	0	0	0	0
223082	ZNRF2	Q8NHG8	V	19	10	0	1	3	0	5	0	0	0	0
1718	DHCR24	Q15392	V	19	8	7	2	2	0	0	0	0	0	0
5496	PPM1G	O15355	V	19	3	6	4	3	0	3	0	0	0	0
5982	RFC2	P35250	V	19	5	6	1	2	0	5	0	0	0	0
6575	SLC20A2	Q08357	V	19	5	4	1	1	0	8	0	0	0	0
6683	SPAST	Q9UBP0	V	19	7	5	2	3	1	1	0	0	0	0
6710	SPTB	P11277	V	19	8	7	0	1	0	3	0	0	0	0
9513	FXR2	P51116	V	19	6	6	4	2	0	1	0	0	0	0
9533	POLR1C	O15160	V	19	4	8	1	3	0	3	0	0	0	0
10250	SRRM1	Q8IYB3	V	19	6	6	3	4	0	0	0	0	0	0
11157	LSM6	P62312	V	19	7	1	3	4	0	4	0	0	0	0
23524	SRRM2	Q9UQ35	V	19	4	8	3	2	0	2	0	0	0	0
25959	KANK2	Q63ZY3	V	19	4	5	3	4	0	3	0	0	0	0
26578	OSTF1	Q92882	V	19	7	6	4	0	0	2	0	0	0	0
51605	TRMT6	Q9UJA5	V	19	5	7	1	3	0	3	0	0	0	0
57085	AGTRAP	Q6RW13	V	19	3	6	3	5	0	2	0	0	0	0
79689	STEAP4	Q687X5	V	19	3	4	3	2	0	7	0	0	0	0
80790	CMIP	Q8IY22	V	19	6	4	3	2	0	4	0	0	0	0
84064	HDHD2	Q9H0R4	V	19	7	5	2	4	0	1	0	0	0	0
389432	SAMD5	Q5TGI4	V	19	2	5	2	5	0	5	0	0	0	0
101929876	-	#N/A	#N/A	19	6	3	2	5	0	3	0	0	0	0
1690	COCH	O43405	V	19	10	6	1	0	0	2	0	0	0	0
1861	TOR1A	O14656	V	19	4	4	5	3	0	3	0	0	0	0
2525	FUT3	P21217	V	19	5	4	3	3	0	4	0	0	0	0
5286	PIK3C2A	O00443	V	19	4	8	2	0	0	5	0	0	0	0
5317	PKP1	Q13835	V	19	3	4	3	6	0	3	0	0	0	0
6396	SEC13	P55735	V	19	4	7	3	2	0	3	0	0	0	0
8939	FUBP3	Q96I24	V	19	5	5	5	1	0	3	0	0	0	0
9333	TGM5	O43548	V	19	3	8	1	4	0	3	0	0	0	0
11010	GLIPR1	P48060	V	19	5	3	4	3	0	4	0	0	0	0
11180	WDR6	Q9NNW5	V	19	5	5	3	2	0	4	0	0	0	0
11182	SLC2A6	Q9UGQ3	V	19	3	2	2	5	0	7	0	0	0	0
23002	DAAM1	Q9Y4D1	V	19	6	5	0	3	0	5	0	0	0	0
23433	RHOQ	P17081	V	19	4	7	3	1	0	4	0	0	0	0
26136	TES	Q9UGI8	V	19	8	6	1	4	0	0	0	0	0	0
30000	TNPO2	O14787	V	19	8	3	1	3	0	4	0	0	0	0
55234	SMU1	Q2TAY7	V	19	5	5	3	2	0	4	0	0	0	0
84284	NTPCR	Q9BSD7	V	19	9	3	1	4	0	2	0	0	0	0
114034	TOE1	Q96GM8	V	19	7	2	1	4	0	5	0	0	0	0
1015	CDH17	Q12864	V	19	16	1	0	0	0	2	0	0	0	0
2444	FRK	P42685	V	19	10	7	0	0	0	2	0	0	0	0
10061	ABCF2	Q9UG63	V	19	6	4	2	1	0	6	0	0	0	0
79581	SLC52A2	Q9HAB3	V	19	6	4	2	4	0	3	0	0	0	0
162605	KRT28	Q7Z3Y7	V	19	15	4	0	0	0	0	0	0	0	0
50619	DEF6	Q9H4E7	V	19	4	5	2	5	0	3	0	0	0	0
192666	KRT24	Q2M2I5	V	19	15	4	0	0	0	0	0	0	0	0
3043	HBB	P68871	V	18	6	5	1	3	1	2	0	0	0	0
5217	PFN2	P35080	V	18	3	5	2	4	1	3	0	0	0	0
7837	PXDN	Q92626	V	18	4	7	3	4	0	0	0	0	0	0
152007	GLIPR2	Q9H4G4	V	18	9	4	1	2	0	2	0	0	0	0
11051	NUDT21	O43809	V	18	5	8	2	2	0	1	0	0	0	0
3920	LAMP2	P13473	V	18	5	7	4	2	0	0	0	0	0	0
727	C5	P01031	V	18	7	2	1	3	2	2	0	0	0	1
5352	PLOD2	O00469	V	18	3	1	1	4	7	2	0	0	0	0
8338	HIST2H2AC	Q16777	V	18	13	4	0	0	1	0	0	0	0	0
8991	SELENBP1	Q13228	V	18	10	2	0	0	1	5	0	0	0	0
26999	CYFIP2	Q96F07	V	18	9	8	0	0	0	1	0	0	0	0
1889	ECE1	P42892	V	18	5	8	4	0	0	1	0	0	0	0
2584	GALK1	P51570	V	18	3	3	3	5	0	4	0	0	0	0
3485	IGFBP2	P18065	V	18	2	6	2	2	1	5	0	0	0	0
116496	FAM129A	Q9BZQ8	V	18	4	4	2	4	0	4	0	0	0	0
1277	COL1A1	P02452	V	18	4	3	3	4	0	3	0	0	0	1
1674	DES	P17661	V	18	8	6	2	2	0	0	0	0	0	0
10507	SEMA4D	Q92854	V	18	2	4	3	5	0	4	0	0	0	0
80331	DNAJC5	Q9H3Z4	V	18	5	4	3	5	0	1	0	0	0	0
1656	DDX6	P26196	V	18	8	6	2	2	0	0	0	0	0	0
1828	DSG1	Q02413	V	18	8	1	3	1	2	3	0	0	0	0
3872	KRT17	Q04695	V	18	13	4	0	0	1	0	0	0	0	0
4811	NID1	P14543	V	18	3	6	2	3	1	3	0	0	0	0
5243	ABCB1	P08183	V	18	10	4	0	1	0	3	0	0	0	0
5327	PLAT	P00750	V	18	4	6	1	5	1	1	0	0	0	0
5603	MAPK13	O15264	V	18	9	1	3	2	0	3	0	0	0	0
6185	RPN2	P04844	V	18	10	5	1	0	0	2	0	0	0	0
10092	ARPC5	O15511	V	18	8	3	5	1	0	1	0	0	0	0
10981	RAB32	Q13637	V	18	2	10	4	0	0	2	0	0	0	0
51072	MEMO1	Q9Y316	V	18	7	3	3	3	0	2	0	0	0	0
79861	TUBAL3	A6NHL2	V	18	12	4	0	0	0	2	0	0	0	0
345	APOC3	P02656	V	18	5	1	1	4	2	5	0	0	0	0
397	ARHGDIB	P52566	V	18	2	6	4	1	0	5	0	0	0	0
3853	KRT6A	P02538	V	18	13	4	0	0	1	0	0	0	0	0
3996	LLGL1	Q15334	V	18	8	5	2	0	1	2	0	0	0	0
6404	SELPLG	Q14242	V	18	4	4	1	4	0	5	0	0	0	0
8601	RGS20	O76081	V	18	2	4	2	2	0	8	0	0	0	0
8714	ABCC3	O15438	V	18	7	5	1	1	0	4	0	0	0	0
9980	DOPEY2	Q9Y3R5	V	18	6	1	0	3	0	8	0	0	0	0
10066	SCAMP2	O15127	V	18	3	8	3	1	0	3	0	0	0	0
11267	SNF8	Q96H20	V	18	9	2	1	3	0	3	0	0	0	0
24147	FJX1	Q86VR8	V	18	6	4	1	3	0	4	0	0	0	0
25814	ATXN10	Q9UBB4	V	18	6	8	2	0	0	2	0	0	0	0
25945	PVRL3	Q9NQS3	V	18	5	4	5	2	0	2	0	0	0	0
55646	LYAR	Q9NX58	V	18	6	5	3	2	0	2	0	0	0	0
148252	DIRAS1	O95057	V	18	7	2	2	2	0	5	0	0	0	0
254102	EHBP1L1	Q8N3D4	V	18	6	2	0	3	0	7	0	0	0	0
328	APEX1	P27695	V	18	5	7	2	2	0	2	0	0	0	0
521	ATP5I	P56385	V	18	8	0	4	3	0	3	0	0	0	0
958	CD40	P25942	V	18	1	7	0	4	0	6	0	0	0	0
1368	CPM	P14384	V	18	5	4	0	3	0	6	0	0	0	0
2042	EPHA3	P29320	V	18	2	8	2	4	1	1	0	0	0	0
2130	EWSR1	Q01844	V	18	3	6	2	2	0	5	0	0	0	0
4172	MCM3	P25205	V	18	3	8	2	4	0	1	0	0	0	0
5265	SERPINA1	P01009	V	18	7	3	3	1	1	3	0	0	0	0
5806	PTX3	P26022	V	18	4	7	2	1	1	3	0	0	0	0
6536	SLC6A9	P48067	V	18	4	3	0	4	0	7	0	0	0	0
6782	HSPA13	P48723	V	18	4	4	1	4	0	5	0	0	0	0
8289	ARID1A	O14497	V	18	8	3	2	1	0	4	0	0	0	0
8653	DDX3Y	O15523	V	18	8	5	3	0	0	2	0	0	0	0
8886	DDX18	Q9NVP1	V	18	9	6	2	0	0	1	0	0	0	0
9317	PTER	Q96BW5	V	18	8	1	3	4	0	2	0	0	0	0
10298	PAK4	O96013	V	18	6	6	1	3	0	2	0	0	0	0
11212	PROSC	O94903	V	18	7	3	4	1	0	3	0	0	0	0
26256	CABYR	O75952	V	18	3	4	3	5	0	3	0	0	0	0
51441	YTHDF2	Q9Y5A9	V	18	2	3	3	4	0	6	0	0	0	0
51752	ERAP1	Q9NZ08	V	18	8	4	3	1	0	2	0	0	0	0
63826	SRR	Q9GZT4	V	18	2	5	4	2	0	5	0	0	0	0
64422	ATG3	Q9NT62	V	18	4	6	1	1	0	6	0	0	0	0
90268	FAM105B	Q96BN8	V	18	3	5	1	5	0	4	0	0	0	0
374454	KRT77	Q7Z794	V	18	16	2	0	0	0	0	0	0	0	0
509	ATP5C1	P36542	V	18	6	0	4	3	0	5	0	0	0	0
836	CASP3	P42574	V	18	5	1	3	2	2	5	0	0	0	0
1645	AKR1C1	Q04828	V	18	7	4	2	3	0	2	0	0	0	0
2802	GOLGA3	Q08378	V	18	4	4	1	5	1	3	0	0	0	0
3909	LAMA3	Q16787	V	18	5	8	0	4	0	1	0	0	0	0
3918	LAMC2	Q13753	V	18	2	7	2	3	0	4	0	0	0	0
4125	MAN2B1	O00754	V	18	4	5	3	1	2	3	0	0	0	0
4640	MYO1A	Q9UBC5	V	18	7	3	1	4	0	3	0	0	0	0
4924	NUCB1	Q02818	V	18	4	8	3	3	0	0	0	0	0	0
5510	PPP1R7	Q15435	V	18	9	6	2	0	0	1	0	0	0	0
5716	PSMD10	O75832	V	18	4	6	3	1	1	3	0	0	0	0
7040	TGFB1	P01137	V	18	3	5	2	2	6	0	0	0	0	0
10247	HRSP12	P52758	V	18	8	2	3	3	0	2	0	0	0	0
10490	VTI1B	Q9UEU0	V	18	1	6	3	1	0	7	0	0	0	0
10921	RNPS1	Q15287	V	18	8	6	0	2	0	2	0	0	0	0
51337	THEM6	Q8WUY1	V	18	7	3	2	4	0	2	0	0	0	0
55666	NPLOC4	Q8TAT6	V	18	0	7	2	2	0	7	0	0	0	0
56241	SUSD2	Q9UGT4	V	18	3	7	3	1	0	4	0	0	0	0
