Sample	cancer_type	type	HLA-A	PDCD6IP	P60033	HSP90AA1	PPIA	PKM	PSMD11	YWHAE	EEF2	HSP90AB1
MS13666QE_Bruno_Lyden_4173	breast	cell culture	193447976.1	850704112.6	870790114	2107215247	1610738889	2053988998	126670359.3	1386540488	1019024041	1974265814
MS13666QE_Bruno_Lyden_4180	breast	cell culture	141669951.6	1526122613	163870147	1131699245	2030682063	836163785	48078578.29	1084764289	790598178.8	1147790588
MS141093QE_Bruno_Lyden_T4	breast	cell culture	63645546.75	218061893.1	247494580	113191333.6	276662233	168061787.8	NA	214026550.2	106580213.8	122600599.3
MS151641QE_Bruno_Lyden_MDA-231-BR_YONEDA	breast	cell culture	NA	404644520.3	699003824	2996271138	2123699037	2338244069	190685718.6	1233585995	1014067549	2847530242
MS151670QE_Bruno_Lyden_MDA_WT	breast	cell culture	NA	363191729.2	1926317364	2753615202	2933904057	1943896761	171679541.5	1113573356	703921707.3	2753615202
MS151767QE_Bruno_Lyden_4175_lung_tropic_1	breast	cell culture	96182151.94	214523355.6	294191592.3	1116326610	666735568	1088114866	45687176.21	380852636.3	200669927.8	1043752527
MS151767QE_Bruno_Lyden_MDA_parental_1	breast	cell culture	NA	82340271.92	138375806.9	1198528706	666459980.3	402387027.8	20580261.04	361971446.3	162162303.9	1116242649
MS151767QE_Bruno_Lyden_Yoneda_brain_tropic_1	breast	cell culture	NA	48055167.54	78359289.63	1274264205	646173639.9	734865371.1	23237142.54	376606887.7	157133076	1265604817
MS151831QE_Bruno_Lyden_MDA-MB-468_repeat	breast	cell culture	344452533.7	682603750.6	2849482072	6754166241	8748834820	3486203308	262280237.2	6324076895	2125449761	7007992325
MS152035QE_Bruno_Lyden_1833_bone_tropic_1	breast	cell culture	61090081.67	580099688.8	3460265629	3287398264	3051984361	2405172861	195093329.7	882835556.7	686732567.5	3257551647
MS162321QEp_Bruno_Lyden_T4-AIIB2	breast	cell culture	NA	NA	NA	NA	NA	3913276.719	NA	NA	NA	4319950
MS162321QEp_Bruno_Lyden_T4-PD	breast	cell culture	NA	58086180.92	251034494.9	25622286.25	NA	20005204.13	NA	5113413.75	NA	21524315.5
MS172982QEp_Ayuko_Lyden_MCF_10CA_1D	breast	cell culture	44019224.27	158211766.6	31381127.13	1235513056	121374417.7	1700685922	187772702.2	149076288.5	2149175360	1235513056
MS162321QEp_Bruno_Lyden_T4-3D	breast	cell culture	NA	NA	NA	544743724.3	48805153.13	75426931.17	NA	83342576.58	81758996.29	324401609.7
