Gene,EntrezID,UNIPROT,3250_overlap,protein_rank_3250,protein_rank_3250_rev,Concentration(ng/L),number of EXPERIMENT,Median
ATP5PO,539,P48047,P,3131,120,150,23,35866855.29
PRDX6,9588,P30041,P,3132,119,120000,33,164173297
GLRX,2745,P35754,P,3133,118,6300,19,62774166.33
SLC25A4,291,P12235,P,3134,117,380,18,58087903.02
BPI,671,P17213,P,3135,116,78,9,92006232.83
IGHG4,3503,P01861,P,3136,115,170000000,1,443685734.8
CST3,1471,P01034,P,3139,112,2800000,23,78530992
HSPA2,3306,P54652,P,3140,111,63000,32,1329430958
CKMT1B,1159,P12532,P,3141,110,2000,20,87607674.54
CKMT1A,548596,P12532,NA,3141,110,2000,7,87607674.54
HIBCH,26275,Q6NVY1,P,3143,108,74,12,58053866.19
AKR1B1,231,P15121,P,3144,107,1500,22,220129954.4
MATN2,4147,O00339,P,3145,106,1500,20,37057893
GOT1,2805,P17174,P,3146,105,100000,40,45094303.25
GNG7,2788,O60262,P,3147,104,72,16,13091478.04
CBR1,873,P16152,P,3148,103,12000,30,310471924.4
ALDH9A1,223,P49189,P,3149,102,2000,34,344178012.2
PRELP,5549,P51888,P,3150,101,450,6,78961573.21
ALDH3A2,224,P51648,P,3151,100,32,9,57435162.5
ATP5F1A,498,P25705,P,3152,99,8800,30,51713154.69
DHRS11,79154,Q6UWP2,P,3153,98,42,14,33095263.13
WARS1,7453,P23381,P,3154,97,49000,36,66779187.4
SOD1,6647,P00441,P,3155,96,50000,25,55891156.19
FN3K,64122,Q9H479,P,3156,95,180,7,46891158.38
HADH,3033,Q16836,P,3157,94,1000,16,39843613.81
PIGR,5284,P01833,P,3158,93,1300000,10,265461789.2
PFKM,5213,P08237,P,3160,91,410,25,122606739.1
ALDH5A1,7915,P51649,P,3161,90,50,16,36947842.8
ITGA3,3675,P26006,P,3162,89,170,41,202658035.2
HLA-A,3105,P04439,P,3163,88,170000,65,183161992.2
CRIP2,1397,P52943,P,3165,86,160,17,91247916.25
BCAM,4059,P50895,P,3166,85,18000,25,48846403.75
SUCLG1,8802,P53597,P,3167,84,350,14,43168347.5
CAT,847,P04040,P,3168,83,760000,34,78068774.46
MYL9,10398,P24844,P,3169,82,34000,19,81705548.25
CRAT,1384,P43155,P,3170,81,8.1,15,34789473.12
PRDX2,7001,P32119,P,3171,80,800000,37,324927616.8
PRKAR2B,5577,P31323,P,3172,79,570,19,73502551.12
FLNC,2318,Q14315,P,3173,78,26000,25,256702931.6
VTN,7448,P04004,P,3174,77,33000000,24,1498750141
CES1,1066,P23141,P,3175,76,40000,13,59993457.83
DCXR,51181,Q7Z4W1,P,3176,75,4000,17,49718514.5
QDPR,5860,P09417,P,3177,74,2500,18,123358609.3
HLA-B,3106,P01889,P,3178,73,190000,32,218556494.3
AZGP1,563,P25311,P,3179,72,74000000,13,86503713.5
H1-4,3008,P10412,P,3181,70,8300,18,592474344.1
MDH1,4190,P40925,P,3182,69,49000,25,49415919.5
DSTN,11034,P60981,P,3183,68,3700,35,206999156.3
PTX3,5806,P26022,P,3184,67,970,18,50076751.13
JCHAIN,3512,P01591,P,3185,66,2200000,23,279826186.1
LYZ,4069,P61626,P,3186,65,1500000,18,123103677.5
KRT19,3880,P08727,P,3187,64,300000,34,263283396.7
MZB1,51237,Q8WU39,P,3188,63,350,10,67194394
ACADSB,36,P45954,P,3189,62,37,19,23328419.08
HP,3240,P00738,P,3190,61,100000000,16,272488468.6
ALDH4A1,8659,P30038,P,3192,59,58,12,37362834.38
GATM,2628,P50440,P,3193,58,600,4,83828579.25
EPHX1,2052,P07099,P,3194,57,160,22,361829298.3
DBI,1622,P07108,P,3196,55,9100,15,64964746.5
CLU,1191,P10909,P,3197,54,29000000,37,416141826.4
UCHL1,7345,P09936,P,3199,52,500,17,92707070.83
NDRG2,57447,Q9UN36,P,3200,51,460,14,50450733.78
CFL2,1073,Q9Y281,P,3201,50,47000,32,454634481.8
MFAP4,4239,P55083,P,3203,48,110000,7,172058840
IGHA1,3493,P01876,P,3205,46,130000000,3,973746076.2
NPNT,255743,Q6UXI9,P,3209,42,120,12,83080310.77
FBP1,2203,P09467,P,3210,41,21000,14,27830242.52
S100B,6285,P04271,P,3211,40,300,6,272253789.3
IGHM,3507,P01871,P,3212,39,110000000,1,2729778819
SOD3,6649,P08294,P,3213,38,510000,10,89646489.96
KRT1,3848,P04264,P,3214,37,35000000,52,325367861.3
ACAT1,38,P24752,P,3215,36,1400,16,32414375.3
RBP1,5947,P09455,P,3216,35,41,27,52995021.25
ANK1,286,P16157,P,3218,33,4200,14,66348481.02
SELENBP1,8991,Q13228,P,3219,32,59000,18,107097034.8
LTF,4057,P02788,P,3220,31,350000,22,374617321.5
EPHX2,2053,P34913,P,3221,30,1100,5,58438626.1
CAVIN2,8436,O95810,P,3222,29,88000,13,64457804
TPM1,7168,P09493,P,3223,28,120000,30,192830942.1
NQO1,1728,P15559,P,3224,27,490,30,326661798.6
PEBP1,5037,P30086,P,3225,26,51000,32,111239482.8
CSRP1,1465,P21291,P,3226,25,11000,26,97189057.25
CRYAB,1410,P02511,P,3227,24,370,17,156704600.2
CMBL,134147,Q96DG6,P,3228,23,580,19,86281552.27
EEF1A2,1917,Q05639,P,3229,22,55000,34,2787295382
GSTM3,2947,P21266,P,3231,20,790,32,236078186.1
TAGLN,6876,Q01995,P,3232,19,6300,20,67660686.88
SPTA1,6708,P02549,P,3233,18,11000,17,19459667.43
DCN,1634,P07585,P,3234,17,1900,9,69190572
HBA1,3039,P69905,P,3235,16,14000000,31,25455835446
HBA2,3040,P69905,NA,3235,16,14000000,19,25455835446
SPTB,6710,P11277,P,3236,15,7800,19,40562974.52
GSTM2,2946,P28161,P,3237,14,1200,11,281618985
HBD,3045,P02042,P,3238,13,6600000,21,23953292545
ABAT,18,P80404,P,3239,12,2100,3,18814949.63
CA1,759,P00915,P,3240,11,4600000,4,53721857.92
HBB,3043,P68871,P,3241,10,10000000,18,29370996116
ADH1B,125,P00325,P,3242,9,39000,3,790696063.3
CA2,760,P00918,P,3244,7,570000,20,35894083.94
SNCG,6623,O76070,P,3246,5,23,12,19796688.06
PGM5,5239,Q15124,P,3247,4,450,2,30029769.5
CKB,1152,P12277,P,3248,3,38000,27,80906016.25
MYH11,4629,P35749,P,3249,2,23000,25,221788289.5
DES,1674,P17661,P,3250,1,1600,18,174982250.4
IGKV3-7,28915,A0A075B6H7,NA,NA,NA,850000,NA,161180920
IGKV1D-42,28892,A0A075B6H8,NA,NA,NA,41000,NA,NA
IGLV4-69,28784,A0A075B6H9,NA,NA,NA,320000,NA,NA
IGLV8-61,28774,A0A075B6I0,NA,NA,NA,620000,NA,108268159.8
IGLV4-60,28785,A0A075B6I1,NA,NA,NA,120000,NA,NA
IGLV10-54,28772,A0A075B6I4,NA,NA,NA,54000,NA,6405723.938
IGLV7-46,28775,A0A075B6I9,NA,NA,NA,270000,NA,206610525
IGLV5-37,28783,A0A075B6J1,NA,NA,NA,14000,NA,NA
IGLV3-22,28795,A0A075B6J6,NA,NA,NA,1100000,NA,NA
IGLV2-18,28814,A0A075B6J9,NA,NA,NA,570000,NA,147189532
IGLV3-16,28799,A0A075B6K0,NA,NA,NA,350000,NA,109600751.9
IGLV3-12,28802,A0A075B6K2,NA,NA,NA,850000,NA,NA
IGLV3-10,28803,A0A075B6K4,NA,NA,NA,2000000,NA,128459244.5
IGLV3-9,28804,A0A075B6K5,NA,NA,NA,1500000,NA,12927363
IGLV4-3,28786,A0A075B6K6,NA,NA,NA,1600,NA,NA
IGHV3-64,28414,A0A075B6Q5,NA,NA,NA,4300000,NA,190452512
IGHV4-4,28401,A0A075B6R2,NA,NA,NA,3800000,NA,32539783.75
IGKV2D-29,28882,A0A075B6S2,NA,NA,NA,1500000,NA,NA
IGKV1D-17,28900,A0A075B6S4,NA,NA,NA,1000000,NA,NA
IGKV1-27,28935,A0A075B6S5,NA,NA,NA,8300000,NA,97548731.19
IGLV5-45,28781,A0A087WSX0,NA,NA,NA,160000,NA,NA
IGKV3D-15,28875,A0A087WSY6,NA,NA,NA,4800000,NA,129753053
IGKV1D-8,28904,A0A087WSZ0,NA,NA,NA,1900000,NA,NA
IGKV2D-26,28884,A0A0A0MRZ7,NA,NA,NA,1000000,NA,NA
IGKV3D-11,28876,A0A0A0MRZ8,NA,NA,NA,6700000,NA,NA
IGLV5-52,28779,A0A0A0MRZ9,NA,NA,NA,1200,NA,NA
IGHV1-45,28466,A0A0A0MS14,NA,NA,NA,380000,NA,NA
IGHV3-49,28423,A0A0A0MS15,NA,NA,NA,1600000,NA,159127885.3
IGLV1-36,28826,A0A0B4J1U3,NA,NA,NA,980000,NA,NA
IGHV6-1,28385,A0A0B4J1U7,NA,NA,NA,930000,NA,212912281
IGHV3-15,28448,A0A0B4J1V0,NA,NA,NA,20000000,NA,202649459.6
IGHV3-21,28444,A0A0B4J1V1,NA,NA,NA,37000000,NA,187062473.8
IGHV2-26,28455,A0A0B4J1V2,NA,NA,NA,190000,NA,196953349.8
IGHV3-73,28409,A0A0B4J1V6,NA,NA,NA,3200000,NA,183672435.5
IGHV7-81,28378,A0A0B4J1V7,NA,NA,NA,270000,NA,NA
IGHV3-74,28408,A0A0B4J1X5,NA,NA,NA,27000000,NA,170870354
IGHV3-43,28426,A0A0B4J1X8,NA,NA,NA,4000000,NA,190939439
IGLV9-49,28773,A0A0B4J1Y8,NA,NA,NA,43000,NA,NA
IGHV3-72,28410,A0A0B4J1Y9,NA,NA,NA,9600000,NA,NA
IGKV1D-43,28891,A0A0B4J1Z2,NA,NA,NA,380000,NA,NA
IGKV1D-13,28902,A0A0B4J2D9,NA,NA,NA,370000,NA,33662650.44
IGHV1-69D,102723169,A0A0B4J2H0,NA,NA,NA,1200000,NA,109334449.8
IGKV6-21,28906,A0A0C4DH24,NA,NA,NA,250000,NA,154965650.9
IGKV3D-20,28874,A0A0C4DH25,NA,NA,NA,11000000,NA,122684861.5
IGKV6D-41,28869,A0A0C4DH26,NA,NA,NA,32000,NA,NA
IGHV1-3,28473,A0A0C4DH29,NA,NA,NA,2600000,NA,143837194
IGHV3-16,28447,A0A0C4DH30,NA,NA,NA,3200000,NA,NA
IGHV1-18,28468,A0A0C4DH31,NA,NA,NA,4700000,NA,185955138
IGHV3-20,28445,A0A0C4DH32,NA,NA,NA,2200000,NA,315452367
IGHV1-24,28467,A0A0C4DH33,NA,NA,NA,3100000,NA,329132776
IGHV4-28,28400,A0A0C4DH34,NA,NA,NA,2500000,NA,75301527.73
IGHV3-35,28432,A0A0C4DH35,NA,NA,NA,19000000,NA,190358309.5
IGHV3-38,28429,A0A0C4DH36,NA,NA,NA,2900000,NA,183672435.5
IGHV5-51,28388,A0A0C4DH38,NA,NA,NA,2700000,NA,136491784.3
IGHV1-58,28464,A0A0C4DH39,NA,NA,NA,120000,NA,NA
IGHV4-61,28391,A0A0C4DH41,NA,NA,NA,4400000,NA,NA
IGHV3-66,28412,A0A0C4DH42,NA,NA,NA,7200000,NA,NA
IGHV2-70D,102723168,A0A0C4DH43,NA,NA,NA,110000,NA,109824976.1
IGKV3D-7,28877,A0A0C4DH55,NA,NA,NA,3700000,NA,NA
IGKV1-8,28942,A0A0C4DH67,NA,NA,NA,6100000,NA,207773223.8
IGKV2-24,28923,A0A0C4DH68,NA,NA,NA,840000,1,866988981.3
IGKV1-9,28941,A0A0C4DH69,NA,NA,NA,4500000,NA,NA
IGKV1-6,28943,A0A0C4DH72,NA,NA,NA,12000000,NA,87531972
IGKV1-12,28940,A0A0C4DH73,NA,NA,NA,13000000,NA,73548484
IGHV1-69-2,28458,A0A0G2JMI3,NA,NA,NA,1100000,NA,NA
IGHV7-4-1,57289,A0A0J9YVY3,NA,NA,NA,560000,NA,84159705.38
IGHV3-64D,102723170,A0A0J9YX35,NA,NA,NA,2500000,NA,183672435.5
IGHV5-10-1,28386,A0A0J9YXX1,NA,NA,NA,1200000,NA,159657188
C3orf85,401081,A0A1B0GTC6,NA,NA,NA,2900,NA,NA
ESYT2,57488,A0FGR8,NA,NA,NA,24,14,NA
FUOM,282969,A2VDF0,NA,NA,NA,2000,9,NA
ASPDH,554235,A6ND91,NA,NA,NA,200,NA,NA
TRABD2B,388630,A6NFA1,NA,NA,NA,41,NA,NA
IGLON5,402665,A6NGN9,NA,NA,NA,15,NA,NA
GLTPD2,388323,A6NH11,NA,NA,NA,150,NA,NA
LILRA5,353514,A6NI73,NA,NA,NA,670,NA,NA
TTC36,143941,A6NLP5,NA,NA,NA,100,NA,NA
COL6A6,131873,A6NMZ7,NA,NA,NA,700,NA,24122097
A2ML1,144568,A8K2U0,NA,NA,NA,10000,13,3903353.24
CLCA1,1179,A8K7I4,NA,NA,NA,77,NA,142794499.8
KRTAP9-7,100505724,A8MTY7,NA,NA,NA,2900,NA,NA
HEPACAM2,253012,A8MVW5,NA,NA,NA,210,NA,NA
ISM1,140862,B1AKI9,NA,NA,NA,17,NA,NA
SMIM1,388588,B2RUZ4,NA,NA,NA,340,12,NA
IGLL5,100423062,B9A064,NA,NA,NA,53000000,11,617593162.9
CCER2,643669,I3L3R5,NA,NA,NA,8.8,NA,NA
ERVH48-1,90625,M5A8F1,NA,NA,NA,57,NA,NA
DNASE2,1777,O00115,NA,NA,NA,560,NA,NA
MASP2,10747,O00187,NA,NA,NA,820000,NA,121770684.2
C11orf58,10944,O00193,NA,NA,NA,100,12,NA
PSMD9,5715,O00233,NA,NA,NA,500,24,NA
SIRPB1,10326,O00241,NA,NA,NA,44000,NA,48383398.5
ATOX1,475,O00244,NA,NA,NA,790,13,NA
DFFA,1676,O00273,NA,NA,NA,8.7,7,NA
IGF2BP3,10643,O00425,NA,NA,NA,27,21,34352732.63
GFRA2,2675,O00451,NA,NA,NA,9000,NA,NA
MANBA,4126,O00462,NA,NA,NA,15000,11,NA
CHL1,10752,O00533,NA,NA,NA,5800000,NA,NA
DLL1,28514,O00548,NA,NA,NA,690,NA,NA
DDX3X,1654,O00571,NA,NA,NA,260,25,NA
RNASET2,8635,O00584,NA,NA,NA,15000,14,NA
CCL21,6366,O00585,NA,NA,NA,920,NA,NA
MFNG,4242,O00587,NA,NA,NA,74,NA,NA
FCN1,2219,O00602,NA,NA,NA,36000,NA,27700960.5
FBP2,8789,O00757,NA,NA,NA,960,7,17159292
ISLR,3671,O14498,NA,NA,NA,130000,NA,38850047
GAPDHS,26330,O14556,NA,NA,NA,7500,12,468499093.5
NCAN,1463,O14594,NA,NA,NA,790,NA,NA
TMSB4Y,9087,O14604,NA,NA,NA,2400,NA,NA
CCS,9973,O14618,NA,NA,NA,190,15,NA
ENPP3,5169,O14638,NA,NA,NA,1100,19,50122684.08
ABLIM1,3983,O14639,NA,NA,NA,6,NA,NA
TCERG1,10915,O14776,NA,NA,NA,17,3,NA
APOL1,8542,O14791,NA,NA,NA,9200000,NA,48396122
MSTN,2660,O14793,NA,NA,NA,7600,NA,3368128.125
PCDH17,27253,O14917,NA,NA,NA,690,NA,NA
UQCRQ,27089,O14949,NA,NA,NA,18,18,NA
LECT2,3950,O14960,NA,NA,NA,5300,NA,NA
HNRNPDL,9987,O14979,NA,NA,NA,330,28,NA
ATP2A1,487,O14983,NA,NA,NA,2800,NA,33971760.35
SEC16A,9919,O15027,NA,NA,NA,48,21,NA
ANGPT2,285,O15123,NA,NA,NA,110,NA,NA
ADAMDEC1,27299,O15204,NA,NA,NA,28000,NA,55538657.5
ZNF185,7739,O15231,NA,NA,NA,220,13,NA
MATN3,4148,O15232,NA,NA,NA,440,12,31624314.4
VGF,7425,O15240,NA,NA,NA,3100,15,84128292
SURF4,6836,O15260,NA,NA,NA,65,12,NA
TCAP,8557,O15273,NA,NA,NA,36,NA,NA
CHAD,1101,O15335,NA,NA,NA,22000,NA,19228427
GPR37,2861,O15354,NA,NA,NA,900,NA,NA
BCAT2,587,O15382,NA,NA,NA,25,NA,NA
NCAM2,4685,O15394,NA,NA,NA,120000,14,NA
SLC16A3,9123,O15427,NA,NA,NA,260,32,74819900.67
ST8SIA5,29906,O15466,NA,NA,NA,24,NA,NA
CCL16,6360,O15467,NA,NA,NA,23000,NA,NA
TAPBP,6892,O15533,NA,NA,NA,20,11,NA
ASAP2,8853,O43150,NA,NA,NA,260,NA,29858292
FLRT2,23768,O43155,NA,NA,NA,17,NA,NA
PLXNB1,5364,O43157,NA,NA,NA,95000,19,28413545.66
PHGDH,26227,O43175,NA,NA,NA,1100,34,NA
ARHGAP6,395,O43182,NA,NA,NA,350,NA,NA
ADAM12,8038,O43184,NA,NA,NA,14000,17,NA
KLK10,5655,O43240,NA,NA,NA,2500,10,24199367.19
SPINT1,6692,O43278,NA,NA,NA,7400,7,17043101.05
TREH,11181,O43280,NA,NA,NA,12000,NA,NA
MTSS1,9788,O43312,NA,NA,NA,140,NA,NA
COCH,1690,O43405,NA,NA,NA,160,19,NA
MGAM,8972,O43451,NA,NA,NA,310,11,NA
B4GAT1,11041,O43505,NA,NA,NA,57000,12,128486548.4
TNFSF12,8742,O43508,NA,NA,NA,130,NA,NA
WIPF1,7456,O43516,NA,NA,NA,520,NA,NA
CHST10,9486,O43529,NA,NA,NA,680,NA,NA
SGCE,8910,O43556,NA,NA,NA,170,11,NA
LAT,27040,O43561,NA,NA,NA,140,9,NA
CA12,771,O43570,NA,NA,NA,52,14,50509313.25
DENR,8562,O43583,NA,NA,NA,200,15,NA
TIMM44,10469,O43615,NA,NA,NA,9.1,17,NA
PSCA,8000,O43653,NA,NA,NA,18,23,175205659.9
RGS10,6001,O43665,NA,NA,NA,840,9,NA
GSTZ1,2954,O43708,NA,NA,NA,340,15,NA
ENSA,2029,O43768,NA,NA,NA,700,NA,NA
KRT86,3892,O43790,NA,NA,NA,160000,8,251327895
AKAP8,10270,O43823,NA,NA,NA,10,NA,2172177.307
ANGPTL7,10218,O43827,NA,NA,NA,1100,NA,18010951.5
NRDC,4898,O43847,NA,NA,NA,58,21,NA
XPNPEP2,7512,O43895,NA,NA,NA,13000,6,10473863.25
TLL1,7092,O43897,NA,NA,NA,560,4,71501837
VEGFD,2277,O43915,NA,NA,NA,450,NA,NA
CHST1,8534,O43916,NA,NA,NA,10,NA,NA
AKR1B10,57016,O60218,NA,NA,NA,67000,17,140734038
KALRN,8997,O60229,NA,NA,NA,83,1,NA
PLIN1,5346,O60240,NA,NA,NA,22,NA,6190300.25
ADGRB2,576,O60241,NA,NA,NA,32,NA,NA
ADGRB3,577,O60242,NA,NA,NA,8.6,NA,NA
HS6ST1,9394,O60243,NA,NA,NA,72,NA,NA
PCDH7,5099,O60245,NA,NA,NA,340,NA,NA
KLK8,11202,O60259,NA,NA,NA,3200,NA,NA
KIAA0513,9764,O60268,NA,NA,NA,67,NA,NA
SUSD5,26032,O60279,NA,NA,NA,17000,NA,NA
OPA1,4976,O60313,NA,NA,NA,10,23,NA
PCDHGA12,26025,O60330,NA,NA,NA,21,NA,NA
PPL,5493,O60437,NA,NA,NA,80,29,NA
PLXNC1,10154,O60486,NA,NA,NA,150,20,23029277.13
DOK2,9046,O60496,NA,NA,NA,220,NA,3207624
SORBS3,10174,O60504,NA,NA,NA,7.7,3,NA
B4GALT3,8703,O60512,NA,NA,NA,130,8,NA
NEMF,9147,O60524,NA,NA,NA,830,1,NA
GFRA3,2676,O60609,NA,NA,NA,150,NA,NA
DIAPH1,1729,O60610,NA,NA,NA,2000,32,NA
SELENOF,9403,O60613,NA,NA,NA,420,11,NA
SNAP91,9892,O60641,NA,NA,NA,28,6,NA
FCMR,9214,O60667,NA,NA,NA,5500,NA,NA
TPST2,8459,O60704,NA,NA,NA,88,NA,32170958.5
CTNND1,1500,O60716,NA,NA,NA,200,39,NA
HPGDS,27306,O60760,NA,NA,NA,250,NA,102903856
EIF5B,9669,O60841,NA,NA,NA,210,25,NA
ZG16,653808,O60844,NA,NA,NA,1300,NA,226063482.7
B4GALT2,8704,O60909,NA,NA,NA,3100,NA,NA
CTSV,1515,O60911,NA,NA,NA,370,11,60269686.38
PPP1R11,6992,O60927,NA,NA,NA,43,NA,NA
NOL3,8996,O60936,NA,NA,NA,26,12,NA
LILRA1,11024,O75019,NA,NA,NA,94000,NA,NA
LILRB3,11025,O75022,NA,NA,NA,16000,NA,NA
LILRB5,10990,O75023,NA,NA,NA,58000,NA,NA
PLXNA2,5362,O75051,NA,NA,NA,1400,12,38165691.35
FAM20B,9917,O75063,NA,NA,NA,14000,NA,67643097
EFCAB14,9813,O75071,NA,NA,NA,110,NA,NA
ADAM23,8745,O75077,NA,NA,NA,890,NA,NA
ADAM11,4185,O75078,NA,NA,NA,23,NA,NA
MEGF6,1953,O75095,NA,NA,NA,1700,NA,NA
LDB3,11155,O75112,NA,NA,NA,750,NA,NA
ICOSLG,23308,O75144,NA,NA,NA,130000,NA,84260184.5
CLUH,23277,O75153,NA,NA,NA,5.5,17,NA
TSC22D2,9819,O75157,NA,NA,NA,100,NA,NA
ADAMTS4,9507,O75173,NA,NA,NA,11,12,14101619.5
CNOT3,4849,O75175,NA,NA,NA,39,15,NA
LRP5,4041,O75197,NA,NA,NA,1500,21,67842441.94
CDH16,1014,O75309,NA,NA,NA,130,NA,NA
SEMA7A,8482,O75326,NA,NA,NA,38000,1,32995519.34
CILP,8483,O75339,NA,NA,NA,13000,20,NA
ALOX12B,242,O75342,NA,NA,NA,7,9,NA
TBCA,6902,O75347,NA,NA,NA,1800,29,NA
ENTPD6,955,O75354,NA,NA,NA,41,NA,818721.4707
ENTPD5,957,O75356,NA,NA,NA,5900,NA,NA
CS,1431,O75390,NA,NA,NA,670,28,NA
TACC1,6867,O75410,NA,NA,NA,47,2,NA
SRSF10,10772,O75494,NA,NA,NA,49,22,NA
CLN5,1203,O75503,NA,NA,NA,470,NA,NA
HSBP1,3281,O75506,NA,NA,NA,12,NA,15448397.31
TNFRSF21,27242,O75509,NA,NA,NA,2300,15,4448988.551
STX11,8676,O75558,NA,NA,NA,1100,NA,NA
SKAP2,8935,O75563,NA,NA,NA,1000,NA,11130416.31
LRP6,4040,O75581,NA,NA,NA,390,13,NA
PGLYRP1,8993,O75594,NA,NA,NA,35000,NA,26516060.19
CREG1,8804,O75629,NA,NA,NA,520,23,68359340
SERPINB7,8710,O75635,NA,NA,NA,160,NA,NA
FCN3,8547,O75636,NA,NA,NA,14000000,NA,67489306.33
SCRG1,11341,O75711,NA,NA,NA,240,NA,NA
SLC25A12,8604,O75746,NA,NA,NA,9.1,11,NA
B3GALNT1,8706,O75752,NA,NA,NA,400,15,NA
ATP6AP2,10159,O75787,NA,NA,NA,140,25,NA
GRAP2,9402,O75791,NA,NA,NA,290,14,NA
CNMD,11061,O75829,NA,NA,NA,9.5,NA,59656511
TNFSF13,8741,O75888,NA,NA,NA,35,NA,NA
BBOX1,8424,O75936,NA,NA,NA,35,NA,15049443.81
SASH3,54440,O75995,NA,NA,NA,14,13,NA
KRT33A,3883,O76009,NA,NA,NA,160000,1,3788720106
KRT34,3885,O76011,NA,NA,NA,170000,1,3618566411
KRT36,8689,O76013,NA,NA,NA,180000,1,355807812.3
KRT38,8687,O76015,NA,NA,NA,160000,6,NA
CLPX,10845,O76031,NA,NA,NA,65,NA,NA
SEC14L2,23541,O76054,NA,NA,NA,580,12,34633162.75
STC2,8614,O76061,NA,NA,NA,19000,16,58630295.78
CCN5,8839,O76076,NA,NA,NA,1200,14,127160999.6
CST7,8530,O76096,NA,NA,NA,26,NA,NA
ECM2,1842,O94769,NA,NA,NA,10000,7,118438266
LY6H,4062,O94772,NA,NA,NA,12,NA,16358247.63
CNTN5,53942,O94779,NA,NA,NA,480,NA,NA
SLIT2,9353,O94813,NA,NA,NA,77,16,NA
NFASC,23114,O94856,NA,NA,NA,2200,NA,NA
LRIG2,9860,O94898,NA,NA,NA,2100,NA,NA
ADGRL1,22859,O94910,NA,NA,NA,180,4,NA
GLCE,26035,O94923,NA,NA,NA,240,9,NA
ABLIM3,22885,O94929,NA,NA,NA,30,15,NA
SLITRK3,22865,O94933,NA,NA,NA,2600,NA,NA
SEMA3D,223117,O95025,NA,NA,NA,120,11,NA
PRSS23,11098,O95084,NA,NA,NA,440,28,63931658.65
DUSP14,11072,O95147,NA,NA,NA,79,NA,36163051.89
AKR7A3,22977,O95154,NA,NA,NA,1900,12,318678671.1
UNC5C,8633,O95185,NA,NA,NA,310,NA,NA
ZRANB2,9406,O95218,NA,NA,NA,13,NA,84163572.95
ATE1,11101,O95260,NA,NA,NA,83,NA,NA
LYPD3,27076,O95274,NA,NA,NA,7600,22,16565951.63
TACC2,10579,O95359,NA,NA,NA,32,NA,NA
TRIM16,10626,O95361,NA,NA,NA,19,14,53685949.25
GDF11,10220,O95390,NA,NA,NA,340,NA,NA
BMP10,27302,O95393,NA,NA,NA,230,NA,3294064.25
PAPLN,89932,O95428,NA,NA,NA,76000,15,NA
ADAMTS2,9509,O95450,NA,NA,NA,2000,14,NA
MATN4,8785,O95460,NA,NA,NA,14,NA,NA
H6PD,9563,O95479,NA,NA,NA,140000,NA,14667845.38
ADGRL2,23266,O95490,NA,NA,NA,700,14,NA
VNN1,8876,O95497,NA,NA,NA,980000,NA,37456680
VNN2,8875,O95498,NA,NA,NA,240,NA,25752322.25
NPTXR,23467,O95502,NA,NA,NA,420,NA,NA
NTN1,9423,O95631,NA,NA,NA,110,21,52832364
FSTL3,10272,O95633,NA,NA,NA,7000,NA,32867432.13
KRT75,9119,O95678,NA,NA,NA,1500000,14,NA
LY86,9450,O95711,NA,NA,NA,77,NA,50612365.25
CRTAM,56253,O95727,NA,NA,NA,6800,NA,NA
ANGPTL1,9068,O95841,NA,NA,NA,380,6,NA
MPIG6B,80739,O95866,NA,NA,NA,330,NA,NA
ABHD16A,7920,O95870,NA,NA,NA,37,NA,7685629.75
OLFM2,93145,O95897,NA,NA,NA,2700,17,NA
FTCD,10841,O95954,NA,NA,NA,1600,NA,54153524.79
ITGBL1,9358,O95965,NA,NA,NA,37,NA,NA
EFEMP2,30008,O95967,NA,NA,NA,2600,9,NA
RECK,8434,O95980,NA,NA,NA,64000,17,16789400.41
AGR2,10551,O95994,NA,NA,NA,38,31,154507632.9
IL18BP,10068,O95998,NA,NA,NA,16000,NA,NA
NAPSA,9476,O96009,NA,NA,NA,1500,NA,2103689018
ADH1C,126,P00326,NA,NA,NA,31000,3,384475769.4
PAH,5053,P00439,NA,NA,NA,40,9,29784153.5
F8,2157,P00451,NA,NA,NA,25000,NA,40691779.38
OTC,5009,P00480,NA,NA,NA,2200,6,12974662.44
LALBA,3906,P00709,NA,NA,NA,91,NA,NA
F9,2158,P00740,NA,NA,NA,8200000,NA,96952660.67
CFD,1675,P00746,NA,NA,NA,4400000,12,NA
F12,2161,P00748,NA,NA,NA,7000000,NA,87829306
PLAU,5328,P00749,NA,NA,NA,88,24,26508863.5
PLAT,5327,P00750,NA,NA,NA,110,18,36486075.25
CFB,629,P00751,NA,NA,NA,120000000,NA,NA
REN,5972,P00797,NA,NA,NA,10,NA,NA
SPINK1,6690,P00995,NA,NA,NA,8000,NA,77289002
TIMP1,7076,P01033,NA,NA,NA,520000,15,NA
CST4,1472,P01036,NA,NA,NA,2800,6,NA
CST1,1469,P01037,NA,NA,NA,6300,15,NA
CSTA,1475,P01040,NA,NA,NA,28000,12,17122682.5
KNG1,3827,P01042,NA,NA,NA,47000000,NA,69370042.81
PDGFB,5155,P01127,NA,NA,NA,950,NA,NA
LDLR,3949,P01130,NA,NA,NA,23000,25,59931882
EGF,1950,P01133,NA,NA,NA,680,NA,NA
NPPA,4878,P01160,NA,NA,NA,1200,NA,NA
PENK,5179,P01210,NA,NA,NA,220,NA,NA
FSHB,2488,P01225,NA,NA,NA,78,NA,NA
GH1,2688,P01241,NA,NA,NA,6400,NA,NA
