EntrezID	Gene	UNIPROT	common_p	Concentration	Ayuko_Ev_q
34	ACADM	P11310	P	930	24141024.25
132	ADK	P55263	P	920	232713998.3
871	SERPINH1	P50454	P	920	92861787.09
5271	SERPINB8	P50452	P	920	42515882.75
5270	SERPINE2	P07093	P	910	18294786
10961	ERP29	P30040	P	900	44856446.41
8655	DYNLL1	P63167	P	890	320231045.6
6916	TBXAS1	P24557	P	890	34458772.43
84245	MRI1	Q9BV20	P	880	24218348.41
94274	PPP1R14A	Q96A00	P	880	6114938.387
9761	MLEC	Q14165	P	880	35433566.38
6500	SKP1	P63208	P	880	47634286.79
4134	MAP4	P27816	P	880	20077882.5
6813	STXBP2	Q15833	P	870	45978228.31
5048	PAFAH1B1	P43034	P	860	97917541.67
6146	RPL22	P35268	P	860	191107714
7264	GFUS	Q13630	P	850	100137229.8
8654	PDE5A	O76074	P	850	47270260.96
84034	EMILIN2	Q9BXX0	P	840	25565570.75
1933	EEF1B2	P24534	P	840	138636372.8
26003	GORASP2	Q9H8Y8	P	830	55200881.66
8566	PDXK	O00764	P	830	130457440.3
64077	LHPP	Q9H008	P	820	5416762.5
84817	TXNDC17	Q9BRA2	P	820	62796660.06
132789	GNPDA2	Q8TDQ7	P	820	22105415.38
196463	PLBD2	Q8NHP8	P	820	16221240.5
6201	RPS7	P62081	P	820	188051246.5
11112	HIBADH	P31937	P	820	8846736.453
1290	COL5A2	P05997	P	820	176631242
7511	XPNPEP1	Q9NQW7	P	810	81242986.42
26135	SERBP1	Q8NC51	P	810	18663265.19
4043	LRPAP1	P30533	P	810	15694059.01
9535	GMFG	O60234	P	810	43802723.33
7336	UBE2V2	Q15819	P	800	62778863
637	BID	P55957	P	800	16675613.94
2776	GNAQ	P50148	P	800	60430750.38
7041	TGFB1I1	O43294	P	800	28393448.85
3068	HDGF	P51858	P	790	68635703.27
2947	GSTM3	P21266	P	790	236078186.1
3843	IPO5	O00410	P	790	43895425.31
10801	SEPTIN9	Q9UHD8	P	770	110781095
5782	PTPN12	Q05209	P	770	23124036.84
4067	LYN	P07948	P	770	97196416.71
6175	RPLP0	P05388	P	770	369078306.3
54504	CPVL	Q9H3G5	P	760	44416873.5
10552	ARPC1A	Q92747	P	760	123616512
30833	NT5C	Q8TCD5	P	760	61882746.61
25870	SUMF2	Q8NBJ7	P	750	16981402.63
7458	EIF4H	Q15056	P	750	35429389
55379	LRRC59	Q96AG4	P	740	107239581.5
1809	DPYSL3	Q14195	P	740	286492362.4
8754	ADAM9	Q13443	P	740	19089250.99
4736	RPL10A	P62906	P	740	200538626.3
6234	RPS28	P62857	P	730	127437820.6
6184	RPN1	P04843	P	730	63330309.23
23344	ESYT1	Q9BSJ8	P	720	41388825.44
1891	ECH1	Q13011	P	720	41185783.38
64374	SIL1	Q9H173	P	710	12731574.22
6136	RPL12	P30050	P	710	398209815.8
9475	ROCK2	O75116	P	710	35954697.5
537	ATP6AP1	Q15904	P	700	19387282
523	ATP6V1A	P38606	P	700	107127618.1
7078	TIMP3	P35625	P	700	119769781.1
7347	UCHL3	P15374	P	700	27705273
2547	XRCC6	P12956	P	700	493306057
23593	HEBP2	Q9Y5Z4	P	690	33341189.09
51084	CRYL1	Q9Y2S2	P	690	85589644.78
4925	NUCB2	P80303	P	690	22057285.63
159	ADSS2	P30520	P	690	36145537.46
8815	BANF1	O75531	P	690	467668736.7
102	ADAM10	O14672	P	690	74151057
2108	ETFA	P13804	P	680	37008218.58
5198	PFAS	O15067	P	670	35199787
56681	SAR1A	Q9NR31	P	660	78121030.63
83940	TATDN1	Q6P1N9	P	660	44940514.31
1266	CNN3	Q15417	P	660	45551224.5
10728	PTGES3	Q15185	P	660	334374369.8
162	AP1B1	Q10567	P	660	144312698
4354	MPP1	Q00013	P	650	15450720.2
3189	HNRNPH3	P31942	P	650	97094843
29108	PYCARD	Q9ULZ3	P	640	10229014.5
3188	HNRNPH2	P55795	P	640	222012526.3
6421	SFPQ	P23246	P	640	289651854.3
6342	SCP2	P22307	P	640	22257901.5
292	SLC25A5	P05141	P	640	58311623.81
9126	SMC3	Q9UQE7	P	630	22678777.5
84301	DDI2	Q5TDH0	P	630	12183560.22
10540	DCTN2	Q13561	P	630	31387509
130589	GALM	Q96C23	P	620	121570427
6128	RPL6	Q02878	P	620	152817204.9
