"UNIPROT"	"Entrez"	"symbol"	"GBM_GTEX.Y8DK.0011.R10A.SM.HAKY1"	"GBM_GTEX.UTHO.0011.R10A.SM.HAKY2"	"GBM_GTEX.R55F.0011.R10A.SM.HAKXY"	"GBM_GTEX.QVJO.0011.R10A.SM.HAKXV"	"GBM_GTEX.P44H.0011.R10A.SM.HAKXX"	"GBM_GTEX.RU72.0011.R10A.SM.HAKXS"	"GBM_GTEX.RN5K.0011.R10A.SM.HAKXU"	"GBM_GTEX.WVLH.0011.R10A.SM.HAKXZ"	"GBM_GTEX.Q2AG.0011.R10A.SM.HAKXT"	"GBM_GTEX.NPJ7.0011.R10A.SM.HAKXW"
"Q9NVE5"	55230	"USP40"	-0.884385668042239	-1.09160442723607	-0.970918346050361	-1.04870266787886	-0.291884174816728	-0.570303657052531	-0.567671232385736	-1.32076040601524	-0.712514297312589	-0.502815393498226
"Q9NVE7"	55229	"PANK4"	0.780185854413581	0.673941277388839	0.828583485695377	0.639521450016099	0.746987701327375	0.656682193032239	0.754199828855594	0.802866813676086	0.830191374448334	0.876119938628995
"Q9NVF7"	23219	"FBXO28"	0.401003139264898	0.44451859766698	-0.239264119498083	-0.0659956222804605	-0.799262026402375	-0.406108303729964	NA	-0.792865093173473	-0.0839651465707097	-0.403997954527684
"Q9NVG8"	54662	"TBC1D13"	-0.249795477771123	-0.162161143732498	-0.0573938524994409	-0.00679173067492575	-0.0881657397320596	0.140378765112687	-0.242330668309519	-0.0658207122351019	0.160100779452663	-0.0840213418514905
"Q9NVH0"	55218	"EXD2"	-0.491540570107569	-0.260013056951916	-0.13440096264635	-0.070671312372792	-0.34031593556056	-0.361639433285191	-0.412136887995708	-0.26044390466361	0.131393800265983	-0.384676284068801
"Q9NVH1"	55735	"DNAJC11"	1.23781446507731	0.866787084339399	0.936597309562283	1.02214444116498	0.823969010936878	0.919095210086344	0.288673784085623	1.27425420325847	1.1275291676223	0.929145531721787
"Q9NVH2"	25896	"INTS7"	-0.684298336850586	-0.654024015240884	-0.156747192082064	-0.665714834711103	-0.497296390236871	-0.18653695429552	-0.168720880845329	-0.683944796010122	-0.567345678772781	-0.619802201536674
"Q9NVH6"	55217	"TMLHE"	1.2819303996415	0.562467063244025	0.701260118556734	0.63774486998872	0.539440212106866	0.687723164278443	0.262984703247817	0.883212677039039	0.844784585817827	0.719594236271363
"Q9NVI1"	55215	"FANCI"	-1.6468229506982	-1.49249723682674	-1.12837354044119	-0.818222611644911	-1.23380637746469	-1.09379389138055	-1.42617528455662	-2.39735609384768	-1.17656989010697	-1.16989717967506
"Q9NVI7"	55210	"ATAD3A"	0.45339535001892	0.441916644248236	0.385539546284171	0.775794537614934	0.73237287203117	0.413106786524671	0.23589225447054	0.793466559602453	0.791745241665783	0.571084150309245
