EntrezID,Gene,3250_overlap,protein_rank_3250,Core GESP Score ,Final GESP Score ,number of EXPERIMENT,Median
7056,THBD,NA,NA,10,13.5,15,11193519.9
28982,FLVCR1,NA,NA,10,13.5,21,52015355.13
1825,DSC3,NA,NA,10,13.5,13,35055025.75
3687,ITGAX,NA,NA,10,13.5,NA,61495616.02
6584,SLC22A5,NA,NA,10,13.5,13,NA
90,ACVR1,NA,NA,10,13.5,15,76870957.5
10457,GPNMB,P,2041,10,13.5,16,137266114
2043,EPHA4,NA,NA,10,13.5,14,65402892.88
6546,SLC8A1,NA,NA,10,13.5,18,NA
286204,CRB2,NA,NA,10,13.5,NA,NA
8516,ITGA8,NA,NA,10,13.5,16,NA
10560,SLC19A2,NA,NA,10,13.5,15,NA
27240,SIT1,NA,NA,10,13.5,11,51984156.84
5101,PCDH9,NA,NA,10,13.5,NA,NA
340348,TSPAN33,NA,NA,10,13.5,7,NA
10225,CD96,NA,NA,10,13.5,NA,NA
1945,EFNA4,NA,NA,10,13.5,NA,NA
10666,CD226,NA,NA,10,13.5,NA,NA
6614,SIGLEC1,P,2576,10,13.5,9,46481622
2562,GABRB3,NA,NA,10,13.5,NA,NA
26011,TENM4,NA,NA,10,13.5,10,NA
2814,GP5,NA,NA,10,13.5,NA,NA
22875,ENPP4,P,1878,10,13.5,18,27944506.07
2558,GABRA5,NA,NA,10,13.5,NA,NA
10867,TSPAN9,NA,NA,10,13.5,17,91382803.05
8875,VNN2,NA,NA,10,13.5,NA,25752322.25
2686,GGT7,NA,NA,10,13.5,NA,NA
8549,LGR5,NA,NA,10,13,4,NA
10232,MSLN,NA,NA,10,13,13,26394695.83
4881,NPR1,NA,NA,10,13,21,NA
7433,VIPR1,NA,NA,10,13,NA,NA
4277,MICB,NA,NA,10,13,6,NA
9568,GABBR2,NA,NA,10,13,NA,NA
57121,LPAR5,NA,NA,10,13,NA,NA
5787,PTPRB,NA,NA,10,13,8,NA
2350,FOLR2,NA,NA,10,13,NA,57079011.75
1497,CTNS,NA,NA,10,13,NA,NA
8477,GPR65,NA,NA,10,13,NA,NA
65217,PCDH15,NA,NA,10,13,NA,NA
10161,LPAR6,NA,NA,10,13,NA,NA
9248,GPR50,NA,NA,10,13,NA,NA
2690,GHR,NA,NA,10,12.5,NA,NA
3570,IL6R,NA,NA,10,12.5,9,NA
3604,TNFRSF9,NA,NA,10,12.5,NA,NA
9308,CD83,NA,NA,10,12.5,6,NA
59272,ACE2,NA,NA,10,12.5,17,35638648.5
2208,FCER2,NA,NA,10,12.5,NA,NA
7075,TIE1,NA,NA,10,12.5,NA,52867284.88
55540,IL17RB,NA,NA,10,12.5,NA,NA
2824,GPM6B,NA,NA,10,12.5,11,139561957
9254,CACNA2D2,NA,NA,10,12.5,5,NA
53838,C11orf24,NA,NA,10,12.5,NA,NA
22914,KLRK1,NA,NA,10,12.5,NA,NA
10205,MPZL2,NA,NA,10,12.5,19,9783389.223
4038,LRP4,NA,NA,10,12.5,16,26381520.25
2894,GRID1,NA,NA,10,12.5,2,NA
83483,PLVAP,NA,NA,10,12.5,NA,30694168.75
8501,SLC43A1,NA,NA,10,12.5,11,NA
374383,NCR3LG1,NA,NA,10,12.5,11,NA
120425,AMICA1,NA,NA,10,12.5,NA,NA
9848,MFAP3L,NA,NA,10,12.5,NA,NA
79583,TMEM231,NA,NA,10,12.5,NA,NA
3804,KIR2DL3,NA,NA,10,12.5,NA,NA
64109,CRLF2,NA,NA,10,12.5,NA,NA
2492,FSHR,NA,NA,10,12.5,NA,NA
4238,MFAP3,NA,NA,10,12.5,NA,NA
8577,TMEFF1,NA,NA,10,12.5,NA,NA
1006,CDH8,NA,NA,10,12.5,NA,NA
6755,SSTR5,NA,NA,10,12,NA,NA
1909,EDNRA,NA,NA,10,12,NA,77250105.44
1903,S1PR3,NA,NA,10,12,NA,15494053.5
56413,LTB4R2,NA,NA,10,12,NA,NA
5365,PLXNB3,NA,NA,10,12,9,NA
4882,NPR2,NA,NA,10,12,13,NA
3352,HTR1D,NA,NA,10,12,NA,NA
6865,TACR2,NA,NA,10,12,NA,NA
4923,NTSR1,NA,NA,10,12,17,29013761.79
2550,GABBR1,NA,NA,10,12,NA,NA
147,ADRA1B,NA,NA,10,12,NA,69764224.75
10316,NMUR1,NA,NA,10,12,NA,NA
1240,CMKLR1,NA,NA,10,12,NA,NA
152,ADRA2C,NA,NA,10,12,NA,NA
4829,NMBR,NA,NA,10,12,NA,NA
84636,GPR174,NA,NA,10,12,NA,NA
10886,NPFFR2,NA,NA,10,12,NA,NA
3350,HTR1A,NA,NA,10,12,NA,NA
165829,GPR156,NA,NA,10,12,NA,NA
909,CD1A,NA,NA,10,11.5,NA,83912219.78
1138,CHRNA5,NA,NA,10,11.5,NA,NA
368,ABCC6,NA,NA,10,11.5,NA,NA
1244,ABCC2,NA,NA,10,11.5,25,19282689.5
924,CD7,NA,NA,10,11.5,8,NA
79679,VTCN1,NA,NA,10,11.5,6,58535789.44
2707,GJB3,NA,NA,10,11.5,NA,6211372.641
4359,MPZ,NA,NA,10,11.5,11,NA
10804,GJB6,NA,NA,10,11.5,NA,NA
1946,EFNA5,NA,NA,10,11.5,NA,NA
3674,ITGA2B,NA,NA,10,11.5,5,53829807.29
145270,PRIMA1,NA,NA,10,11.5,NA,NA
22925,PLA2R1,NA,NA,10,11.5,NA,NA
6578,SLCO2A1,NA,NA,10,11.5,NA,NA
1008,CDH10,NA,NA,10,11.5,1,NA
2705,GJB1,NA,NA,10,11.5,7,NA
1134,CHRNA1,NA,NA,10,11.5,NA,NA
252995,FNDC5,NA,NA,10,11.5,NA,NA
6550,SLC9A3,NA,NA,10,11.5,NA,NA
492,ATP2B3,NA,NA,10,11.5,26,34363542.25
84894,LINGO1,NA,NA,10,11.5,NA,NA
6326,SCN2A,NA,NA,10,11.5,NA,NA
2892,GRIA3,NA,NA,10,11.5,NA,NA
6579,SLCO1A2,NA,NA,10,11.5,NA,NA
54510,PCDH18,NA,NA,10,11.5,12,NA
84879,MFSD2A,NA,NA,10,11.5,NA,NA
6565,SLC15A2,NA,NA,10,11.5,NA,NA
94015,TTYH2,NA,NA,10,11.5,18,132450610.3
57526,PCDH19,NA,NA,10,11.5,NA,NA
8692,HYAL2,NA,NA,10,11.5,21,NA
946,SIGLEC6,NA,NA,10,11.5,NA,NA
80975,TMPRSS5,NA,NA,10,11.5,NA,NA
6330,SCN4B,NA,NA,10,11.5,NA,NA
6339,SCNN1D,NA,NA,10,11.5,NA,NA
2901,GRIK5,NA,NA,10,11.5,NA,NA
8876,VNN1,NA,NA,10,11.5,NA,37456680
53841,CDHR5,NA,NA,10,11.5,4,NA
343413,FCRL6,NA,NA,10,11.5,NA,NA
3821,KLRC1,NA,NA,10,11.5,NA,NA
60437,CDH26,NA,NA,10,11.5,NA,NA
8763,CD164,NA,NA,10,11.5,NA,NA
9069,CLDN12,NA,NA,10,11.5,14,102181071.8
2555,GABRA2,NA,NA,10,11.5,NA,NA
56302,TRPV5,NA,NA,10,11.5,NA,NA
59285,CACNG6,NA,NA,10,11.5,NA,68739931.63
1144,CHRND,NA,NA,10,11.5,NA,NA
6569,SLC34A1,NA,NA,10,11.5,NA,NA
137868,SGCZ,NA,NA,10,11.5,NA,NA
255022,CALHM1,NA,NA,10,11.5,NA,NA
64881,PCDH20,NA,NA,10,11.5,NA,NA
375611,SLC26A5,NA,NA,10,11.5,NA,NA
387836,CLEC2A,NA,NA,10,11.5,NA,NA
1007,CDH9,NA,NA,10,11.5,1,NA
338567,KCNK18,NA,NA,10,11.5,NA,NA
238,ALK,NA,NA,10,11,8,NA
54742,LY6K,NA,NA,10,11,NA,NA
1271,CNTFR,NA,NA,10,11,NA,NA
19,ABCA1,NA,NA,9,19.5,17,32831139.94
9902,MRC2,P,1243,9,18,13,54869606.89
6507,SLC1A3,NA,NA,9,17.5,24,NA
3482,IGF2R,P,1096,9,17.5,28,34621072.08
56889,TM9SF3,P,789,9,17.5,16,82739451.42
23446,SLC44A1,P,2314,9,17.5,33,98753222.13
9123,SLC16A3,NA,NA,9,16.5,32,74819900.67
977,CD151,NA,NA,9,16.5,35,NA
135228,CD109,P,2551,9,16.5,33,40946228
2316,FLNA,P,3127,9,16.5,45,493391645.5
9194,SLC16A7,NA,NA,9,16.5,10,12859795.5
928,CD9,NA,NA,9,16.5,58,NA
8754,ADAM9,P,67,9,16.5,24,19089250.99
3920,LAMP2,P,2517,9,16.5,18,71367625.13
1209,CLPTM1,P,1106,9,16.5,13,13595680.88
84230,LRRC8C,NA,NA,9,16.5,19,2214667.281
1368,CPM,P,3018,9,16,18,41559992.25
257194,NEGR1,NA,NA,9,16,14,25829171.5
2152,F3,NA,NA,9,15.5,23,45596063.62
10257,ABCC4,NA,NA,9,15.5,27,19742852.47
221955,DAGLB,NA,NA,9,15.5,11,NA
114990,VASN,NA,NA,9,15.5,8,63062028.25
56650,CLDND1,NA,NA,9,15.5,24,NA
26505,CNNM3,P,1328,9,15.5,27,53878068.07
1902,LPAR1,NA,NA,9,15,9,NA
1828,DSG1,NA,NA,9,15,18,83411807
2740,GLP1R,NA,NA,9,15,NA,NA
1952,CELSR2,NA,NA,9,15,15,NA
1604,CD55,NA,NA,9,14.5,21,NA
64866,CDCP1,NA,NA,9,14.5,31,47986643.88
4040,LRP6,NA,NA,9,14.5,13,NA
3127,HLA-DRB5,NA,NA,9,14.5,NA,102291431.2
8832,CD84,NA,NA,9,14.5,NA,NA
6521,SLC4A1,NA,NA,9,14.5,NA,138481701
10509,SEMA4B,NA,NA,9,14.5,NA,47777709.75
55714,TENM3,NA,NA,9,14.5,22,40256035.81
10723,SLC12A7,NA,NA,9,14.5,29,NA
29953,TRHDE,NA,NA,9,14.5,16,NA
7779,SLC30A1,P,132,9,14.5,20,43303609.5
56996,SLC12A9,P,137,9,14.5,14,10726911.5
1180,CLCN1,NA,NA,9,14.5,NA,NA
1910,EDNRB,NA,NA,9,14,11,NA
5733,PTGER3,NA,NA,9,14,NA,NA
3122,HLA-DRA,NA,NA,9,14,14,NA
9294,S1PR2,NA,NA,9,14,12,NA
3351,HTR1B,NA,NA,9,14,NA,NA
771,CA12,NA,NA,9,13.5,14,50509313.25
6383,SDC2,NA,NA,9,13.5,15,NA
56606,SLC2A9,NA,NA,9,13.5,NA,NA
3115,HLA-DPB1,P,2678,9,13.5,13,79538054.66
26470,SEZ6L2,NA,NA,9,13.5,NA,NA
478,ATP1A3,NA,NA,9,13.5,28,NA
54795,TRPM4,P,2338,9,13.5,22,27431888.31
3597,IL13RA1,NA,NA,9,13.5,3,NA
6536,SLC6A9,NA,NA,9,13.5,18,NA
199675,MCEMP1,NA,NA,9,13.5,NA,84948231.99
221935,SDK1,NA,NA,9,13.5,4,NA
9990,SLC12A6,NA,NA,9,13.5,7,NA
64218,SEMA4A,NA,NA,9,13.5,13,NA
64115,C10orf54,NA,NA,9,13.5,NA,110119645
6575,SLC20A2,NA,NA,9,13.5,19,NA
114134,SLC2A13,NA,NA,9,13.5,NA,25922537
284996,RNF149,NA,NA,9,13.5,9,NA
84888,SPPL2A,NA,NA,9,13.5,19,21104560.94
4582,MUC1,NA,NA,9,13,13,NA
150,ADRA2A,NA,NA,9,13,12,51504394.5
8698,S1PR4,NA,NA,9,13,6,NA
7133,TNFRSF1B,NA,NA,9,13,2,NA
392617,ELFN1,NA,NA,9,13,NA,NA
361,AQP4,NA,NA,9,12.5,NA,NA
43,ACHE,NA,NA,9,12.5,NA,43186237.38
6504,SLAMF1,NA,NA,9,12.5,NA,NA
6693,SPN,NA,NA,9,12.5,8,25197920.58
5133,PDCD1,NA,NA,9,12.5,NA,NA
79827,CLMP,NA,NA,9,12.5,10,5717600.25
1364,CLDN4,NA,NA,9,12.5,24,30660552.84
6563,SLC14A1,NA,NA,9,12.5,NA,NA
10057,ABCC5,NA,NA,9,12.5,7,NA
100506658,OCLN,NA,NA,9,12.5,23,NA
3563,IL3RA,NA,NA,9,12.5,NA,NA
2209,FCGR1A,NA,NA,9,12.5,NA,26077439.3
7132,TNFRSF1A,NA,NA,9,12.5,15,NA
8728,ADAM19,NA,NA,9,12.5,NA,NA
10675,CSPG5,NA,NA,9,12.5,3,NA
284069,FAM171A2,NA,NA,9,12.5,3,NA
10863,ADAM28,NA,NA,9,12.5,NA,20799427.42
57537,SORCS2,NA,NA,9,12.5,2,NA
2014,EMP3,NA,NA,9,12.5,10,43492130
23240,KIAA0922,NA,NA,9,12.5,NA,NA
29121,CLEC2D,NA,NA,9,12.5,NA,NA
27180,SIGLEC9,NA,NA,9,12.5,NA,NA
3113,HLA-DPA1,NA,NA,9,12.5,NA,NA
92255,LMBRD2,NA,NA,9,12.5,5,9121322.875
53834,FGFRL1,NA,NA,9,12.5,9,NA
7222,TRPC3,NA,NA,9,12.5,NA,NA
9746,CLSTN3,NA,NA,9,12.5,17,NA
112,ADCY6,NA,NA,9,12.5,21,7181400.875
64420,SUSD1,NA,NA,9,12.5,14,NA
81533,ITFG1,P,239,9,12.5,8,31971099.75
1954,MEGF8,NA,NA,9,12.5,NA,5456937.75
1378,CR1,NA,NA,9,12,NA,96829265
5732,PTGER2,NA,NA,9,12,NA,NA
1951,CELSR3,NA,NA,9,12,NA,NA
8321,FZD1,NA,NA,9,12,NA,35633751.88
53637,S1PR5,NA,NA,9,12,NA,NA
2696,GIPR,NA,NA,9,12,NA,NA
54549,SDK2,NA,NA,9,12,NA,NA
29933,GPR132,NA,NA,9,12,NA,NA
3133,HLA-E,P,1462,9,12,22,209320842.7
266977,ADGRF1,NA,NA,9,12,11,6053891.501
84658,ADGRE3,NA,NA,9,12,NA,NA
3554,IL1R1,NA,NA,9,11.5,NA,NA
2066,ERBB4,NA,NA,9,11.5,15,NA
2012,EMP1,NA,NA,9,11.5,NA,NA
7036,TFR2,NA,NA,9,11.5,5,80230202
6530,SLC6A2,NA,NA,9,11.5,NA,NA
1365,CLDN3,NA,NA,9,11.5,35,114138281.3
9180,OSMR,NA,NA,9,11.5,9,18832423.81
1366,CLDN7,NA,NA,9,11.5,24,NA
81607,PVRL4,NA,NA,9,11.5,11,NA
4804,NGFR,NA,NA,9,11.5,14,67973693
115352,FCRL3,NA,NA,9,11.5,NA,NA
7784,ZP3,NA,NA,9,11.5,NA,NA
10103,TSPAN1,NA,NA,9,11.5,20,128243702.4
10599,SLCO1B1,NA,NA,9,11.5,NA,NA
4041,LRP5,NA,NA,9,11.5,21,67842441.94
3738,KCNA3,NA,NA,9,11.5,NA,NA
83416,FCRL5,NA,NA,9,11.5,NA,53568847.25
5023,P2RX1,NA,NA,9,11.5,NA,NA
58191,CXCL16,NA,NA,9,11.5,10,NA
2215,FCGR3B,NA,NA,9,11.5,NA,NA
27076,LYPD3,NA,NA,9,11.5,22,16565951.63
92,ACVR2A,NA,NA,9,11.5,3,NA
151888,BTLA,NA,NA,9,11.5,NA,NA
23769,FLRT1,NA,NA,9,11.5,NA,NA
3249,HPN,NA,NA,9,11.5,NA,NA
338440,ANO9,NA,NA,9,11.5,NA,NA
9466,IL27RA,NA,NA,9,11.5,NA,NA
57633,LRRN1,NA,NA,9,11.5,NA,NA
79368,FCRL2,NA,NA,9,11.5,NA,NA
55867,SLC22A11,NA,NA,9,11.5,NA,NA
57722,IGDCC4,NA,NA,9,11.5,NA,NA
91749,KIAA1919,NA,NA,9,11.5,NA,NA
57462,KIAA1161,NA,NA,9,11.5,17,NA
163702,IFNLR1,NA,NA,9,11.5,NA,NA
6535,SLC6A8,NA,NA,9,11.5,15,11843039.55
85413,SLC22A16,NA,NA,9,11.5,NA,NA
149233,IL23R,NA,NA,9,11.5,NA,NA
6259,RYK,NA,NA,9,11.5,NA,NA
161198,CLEC14A,NA,NA,9,11.5,NA,NA
79770,TXNDC15,NA,NA,9,11.5,NA,NA
51374,ATRAID,NA,NA,9,11.5,1,NA
56100,PCDHGB6,NA,NA,9,11.5,NA,NA
55576,STAB2,NA,NA,9,11.5,NA,NA
3568,IL5RA,NA,NA,9,11.5,NA,NA
84634,KISS1R,NA,NA,9,11,NA,NA
926,CD8B,NA,NA,9,11,NA,NA
1441,CSF3R,NA,NA,9,11,NA,NA
55366,LGR4,NA,NA,9,11,18,NA
2925,GRPR,NA,NA,9,11,7,NA
8685,MARCO,NA,NA,9,11,NA,24476226
28234,SLCO1B3,NA,NA,9,11,NA,NA
23284,ADGRL3,NA,NA,9,11,2,NA
4978,OPCML,NA,NA,9,11,NA,NA
1131,CHRM3,NA,NA,9,11,NA,NA
2863,GPR39,NA,NA,9,11,11,7281844.5
5739,PTGIR,NA,NA,9,11,NA,NA
1272,CNTN1,NA,NA,9,11,19,89807577.55
253559,CADM2,NA,NA,9,11,NA,NA
338442,HCAR2,NA,NA,9,11,NA,NA
2825,GPR1,NA,NA,9,11,NA,51426862
27199,OXGR1,NA,NA,9,11,NA,NA
9283,GPR37L1,NA,NA,9,11,NA,NA
54328,GPR173,NA,NA,9,11,NA,NA
353091,RAET1G,NA,NA,9,11,NA,NA
577,ADGRB3,NA,NA,9,11,NA,NA
56670,SUCNR1,NA,NA,9,11,NA,NA
1816,DRD5,NA,NA,9,11,NA,NA
7201,TRHR,NA,NA,9,11,NA,NA
9340,GLP2R,NA,NA,9,11,NA,NA
81491,GPR63,NA,NA,9,11,NA,NA
116511,MAS1L,NA,NA,9,11,NA,NA
350383,GPR142,NA,NA,9,11,NA,NA
81472,OR2C3,NA,NA,9,11,NA,NA
2679,GGT3P,NA,NA,9,11,NA,63647203.63
7113,TMPRSS2,NA,NA,9,10.5,NA,NA
959,CD40LG,NA,NA,9,10.5,7,NA
374,AREG,NA,NA,9,10.5,14,29261278.94
7035,TFPI,NA,NA,9,10.5,13,NA
5284,PIGR,P,3158,9,10.5,10,265461789.2
658,BMPR1B,NA,NA,9,10.5,NA,NA
4916,NTRK3,NA,NA,9,10.5,NA,NA
9173,IL1RL1,NA,NA,9,10.5,NA,NA
360,AQP3,NA,NA,9,10.5,NA,NA
5244,ABCB4,NA,NA,9,10.5,3,24178105.98
23621,BACE1,NA,NA,9,10.5,NA,NA
4099,MAG,NA,NA,9,10.5,NA,NA
1811,SLC26A3,NA,NA,9,10.5,NA,NA
10178,TENM1,NA,NA,9,10.5,14,NA
64399,HHIP,NA,NA,9,10.5,12,NA
1839,HBEGF,NA,NA,9,10.5,NA,NA
2205,FCER1A,NA,NA,9,10.5,NA,NA
5801,PTPRR,NA,NA,9,10.5,NA,NA
9075,CLDN2,NA,NA,9,10.5,15,23970331
56666,PANX2,NA,NA,9,10.5,NA,NA
10219,KLRG1,NA,NA,9,10.5,NA,NA
2811,GP1BA,NA,NA,9,10.5,NA,NA
177,AGER,NA,NA,9,10.5,NA,218210630.3
6340,SCNN1G,NA,NA,9,10.5,NA,NA
9356,SLC22A6,NA,NA,9,10.5,NA,NA
8647,ABCB11,NA,NA,9,10.5,9,NA
8515,ITGA10,NA,NA,9,10.5,NA,NA
201633,TIGIT,NA,NA,9,10.5,NA,NA
432,ASGR1,NA,NA,9,10.5,NA,85139384.16
29881,NPC1L1,NA,NA,9,10.5,NA,NA
50636,ANO7,NA,NA,9,10.5,NA,NA
30061,SLC40A1,NA,NA,9,10.5,NA,34756403
196740,VSTM4,NA,NA,9,10.5,NA,NA
127534,GJB4,NA,NA,9,10.5,NA,NA
203859,ANO5,NA,NA,9,10.5,NA,145844242
9080,CLDN9,NA,NA,9,10.5,2,41304093.95
57463,AMIGO1,NA,NA,9,10.5,NA,NA
54413,NLGN3,NA,NA,9,10.5,NA,NA
140453,MUC17,NA,NA,9,10.5,NA,17349134.75
286133,SCARA5,NA,NA,9,10.5,NA,NA
9963,SLC23A1,NA,NA,9,10.5,NA,NA
56130,PCDHB6,NA,NA,9,10.5,NA,NA
6476,SI,NA,NA,9,10.5,17,13580390.63
56098,PCDHGC4,NA,NA,9,10.5,NA,NA
9312,KCNB2,NA,NA,9,10.5,NA,NA
10699,CORIN,NA,NA,9,10.5,NA,NA
11254,SLC6A14,NA,NA,9,10.5,12,83530563.5
286676,ILDR1,NA,NA,9,10.5,NA,NA
56125,PCDHB11,NA,NA,9,10.5,NA,NA
6332,SCN7A,NA,NA,9,10.5,NA,NA
84631,SLITRK2,NA,NA,9,10.5,NA,NA
6538,SLC6A11,NA,NA,9,10.5,NA,40425006.19
22802,CLCA4,NA,NA,9,10.5,NA,403599643
64403,CDH24,NA,NA,9,10.5,NA,NA
27345,KCNMB4,NA,NA,9,10.5,NA,NA
63027,SLC22A23,NA,NA,9,10.5,12,NA
137075,CLDN23,NA,NA,9,10.5,NA,NA
55117,SLC6A15,NA,NA,9,10.5,NA,NA
161291,TMEM30B,NA,NA,9,10.5,27,49735201.2
56131,PCDHB4,NA,NA,9,10.5,NA,NA
56103,PCDHGB2,NA,NA,9,10.5,NA,NA
283316,CD163L1,NA,NA,9,10.5,NA,NA
10500,SEMA6C,NA,NA,9,10.5,NA,NA
9843,HEPH,NA,NA,9,10.5,26,7711357.563
283375,SLC39A5,NA,NA,9,10.5,NA,NA
55089,SLC38A4,NA,NA,9,10.5,17,NA
3747,KCNC2,NA,NA,9,10.5,NA,NA
56124,PCDHB12,NA,NA,9,10.5,NA,NA
147495,APCDD1,NA,NA,9,10.5,4,NA
8995,TNFSF18,NA,NA,9,10.5,NA,NA
84918,LRP11,NA,NA,9,10.5,NA,NA
56113,PCDHGA2,NA,NA,9,10.5,NA,NA
64084,CLSTN2,NA,NA,9,10.5,11,NA
115019,SLC26A9,NA,NA,9,10.5,NA,NA
84102,SLC41A2,NA,NA,9,10.5,NA,NA
56106,PCDHGA10,NA,NA,9,10.5,NA,NA
56109,PCDHGA6,NA,NA,9,10.5,NA,NA
23505,TMEM131,NA,NA,9,10.5,NA,NA
56105,PCDHGA11,NA,NA,9,10.5,NA,NA
56108,PCDHGA7,NA,NA,9,10.5,NA,NA
9177,HTR3B,NA,NA,9,10.5,NA,NA
27328,PCDH11X,NA,NA,9,10.5,NA,NA
57829,ZP4,NA,NA,9,10.5,NA,NA
56142,PCDHA6,NA,NA,9,10.5,NA,NA
54946,SLC41A3,NA,NA,9,10.5,NA,NA
56112,PCDHGA3,NA,NA,9,10.5,NA,NA
56102,PCDHGB3,NA,NA,9,10.5,NA,NA
56110,PCDHGA5,NA,NA,9,10.5,NA,NA
56139,PCDHA10,NA,NA,9,10.5,NA,NA
1830,DSG3,NA,NA,9,10,1,31810734.82
5551,PRF1,NA,NA,9,10,16,NA
259197,NCR3,NA,NA,9,10,NA,NA
54756,IL17RD,NA,NA,9,10,NA,NA
54538,ROBO4,NA,NA,9,10,NA,65437091.63
1942,EFNA1,NA,NA,9,9.5,NA,NA
2675,GFRA2,NA,NA,9,9,NA,NA
50487,PLA2G3,NA,NA,9,9,NA,NA
351,APP,NA,NA,8,18.5,39,NA
6515,SLC2A3,NA,NA,8,17.5,22,48730781.28
7037,TFRC,P,1258,8,16.5,42,90944210.99
493,ATP2B4,P,2102,8,16.5,37,48880600.19
6868,ADAM17,P,138,8,15.5,21,21872414.56
950,SCARB2,NA,NA,8,15.5,28,NA
4627,MYH9,P,2129,8,15,48,486609955.7
2817,GPC1,P,954,8,15,31,40116662.3
4323,MMP14,P,54,8,14.5,21,38049335.25
5355,PLP2,NA,NA,8,14.5,17,203450304
4065,LY75,NA,NA,8,14.5,15,31609492.2
3135,HLA-G,NA,NA,8,13.5,10,166448133.4
3778,KCNMA1,NA,NA,8,13.5,NA,NA
5786,PTPRA,P,1618,8,13.5,32,18615756.28
118429,ANTXR2,NA,NA,8,13.5,13,20004551.75
54972,TMEM132A,NA,NA,8,13,NA,1238535.978
3269,HRH1,NA,NA,8,13,1,16992016
6869,TACR1,NA,NA,8,13,NA,NA
2642,GCGR,NA,NA,8,13,NA,NA
1269,CNR2,NA,NA,8,13,NA,NA
1129,CHRM2,NA,NA,8,13,NA,NA
6335,SCN9A,NA,NA,8,12.5,NA,NA
10653,SPINT2,NA,NA,8,12.5,20,27550037.71
55503,TRPV6,NA,NA,8,12.5,NA,NA
6532,SLC6A4,NA,NA,8,12.5,NA,NA
51458,RHCG,NA,NA,8,12.5,NA,NA
84679,SLC9A7,NA,NA,8,12.5,NA,NA
10099,TSPAN3,NA,NA,8,12.5,23,NA
7105,TSPAN6,P,1157,8,12.5,31,35880574.5
2741,GLRA1,NA,NA,8,12.5,NA,NA
1823,DSC1,NA,NA,8,12.5,12,33267063.25
729230,CCR2,NA,NA,8,12,NA,NA
1815,DRD4,NA,NA,8,12,NA,NA
7855,FZD5,NA,NA,8,12,NA,NA
1235,CCR6,NA,NA,8,12,NA,NA
8612,PPAP2C,NA,NA,8,12,18,NA
54805,CNNM2,NA,NA,8,12,5,81084380.95
55890,GPRC5C,NA,NA,8,12,16,46585930.75
63895,PIEZO2,NA,NA,8,12,NA,NA
1132,CHRM4,NA,NA,8,12,NA,NA
9976,CLEC2B,NA,NA,8,12,NA,49407374.66
886,CCKAR,NA,NA,8,12,NA,NA
969,CD69,NA,NA,8,11.5,NA,NA
5789,PTPRD,NA,NA,8,11.5,14,49483963.94
2615,LRRC32,NA,NA,8,11.5,15,NA
7804,LRP8,NA,NA,8,11.5,13,NA
249,ALPL,P,3100,8,11.5,3,74150191.21
6833,ABCC8,NA,NA,8,11.5,NA,NA
9900,SV2A,NA,NA,8,11.5,4,25338448.97
2902,GRIN1,NA,NA,8,11.5,NA,NA
92745,SLC38A5,NA,NA,8,11.5,14,NA
8809,IL18R1,NA,NA,8,11.5,NA,NA
4055,LTBR,NA,NA,8,11.5,6,NA
57622,LRFN1,NA,NA,8,11.5,12,NA
64116,SLC39A8,NA,NA,8,11.5,NA,NA
9057,SLC7A6,NA,NA,8,11.5,16,NA
2993,GYPA,NA,NA,8,11.5,8,NA
55423,SIRPG,NA,NA,8,11.5,NA,NA
1141,CHRNB2,NA,NA,8,11.5,NA,NA
8506,CNTNAP1,NA,NA,8,11.5,NA,3847598.188
6302,TSPAN31,NA,NA,8,11.5,NA,NA
27075,TSPAN13,NA,NA,8,11.5,15,127404391
54587,MXRA8,NA,NA,8,11.5,12,11616358.22
1185,CLCN6,NA,NA,8,11.5,NA,NA
79713,IGFLR1,NA,NA,8,11.5,NA,NA
79147,FKRP,NA,NA,8,11.5,NA,NA
6327,SCN2B,NA,NA,8,11.5,NA,NA
81618,ITM2C,NA,NA,8,11.5,26,54362642
9725,TMEM63A,P,2665,8,11.5,11,21111885.65
90139,TSPAN18,NA,NA,8,11.5,NA,NA
11118,BTN3A2,NA,NA,8,11.5,16,NA
51092,SIDT2,NA,NA,8,11.5,NA,NA
359,AQP2,NA,NA,8,11.5,NA,NA
8001,GLRA3,NA,NA,8,11.5,NA,NA
3579,CXCR2,NA,NA,8,11,NA,NA
5021,OXTR,NA,NA,8,11,16,NA
623,BDKRB1,NA,NA,8,11,NA,NA
1292,COL6A2,P,2948,8,11,22,152336425.8
51280,GOLM1,P,1680,8,11,11,24000211.25
1230,CCR1,NA,NA,8,11,15,NA
3356,HTR2A,NA,NA,8,11,NA,NA
552,AVPR1A,NA,NA,8,11,NA,NA
3358,HTR2C,NA,NA,8,11,NA,NA
283383,ADGRD1,NA,NA,8,11,NA,NA
80045,GPR157,NA,NA,8,11,NA,NA
25960,ADGRA2,NA,NA,8,11,NA,62906040
11024,LILRA1,NA,NA,8,11,NA,NA
11245,GPR176,NA,NA,8,11,NA,NA
9034,CCRL2,NA,NA,8,11,11,NA
2838,GPR15,NA,NA,8,11,NA,NA
4544,MTNR1B,NA,NA,8,11,NA,NA
166647,ADGRA3,NA,NA,8,11,NA,NA
9290,GPR55,NA,NA,8,11,NA,NA
80835,TAS1R1,NA,NA,8,11,10,NA
80834,TAS1R2,NA,NA,8,11,NA,NA
